stoloc,wh_id,arecod,locsts,velzon,wrkzon,aisle_id,trvseq,rescod,lochgt,loclen,locwid,locvrc,maxqvl,curqvl,pndqvl,trfpct,erfpct,useflg,stoflg,pckflg,repflg,asgflg,cipflg,cntseq,numcnt,abccod,cntdte,devcod,lokcod,locacc,voc_chkdgt,lstdte,lstcod,lst_usr_id,slotseq,perm_asgflg,cntzon_id,section,x,y,z,attr1,attr2,attr3,attr4,attr5,basepoint_id,top_left_x,top_left_y,top_right_x,top_right_y,bottom_left_x,bottom_left_y,bottom_right_x,bottom_right_y,border_pad,auto_mov_flg,slot_id,def_maxqvl,ignore_psh_flg,u_version,ins_dt,last_upd_dt,ins_user_id,last_upd_user_id,cntbck_ena_flg,prdlin,stgloc,vc_wgtlmt,vc_stggrp_id,vc_instg_id,vc_outstg_id,vc_stoseq,vc_beam_id,vc_beam_pos,vc_curwgt
M2M01A,ARCSG03,4MEZSTR1,E,A,M2MA,M2MA,1008245,,1000,1000,1000,,12,0,0,,,1,1,1,0,0,0,,0,A,,,,ALL,,5/11/2017 9:54,,SUPER,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,12,0,1,5/11/2017 3:54,5/18/2017 7:54:57 AM,SUPER,SUPER,,,,,,,,,,,0
M2M02A,ARCSG03,4MEZSTR1,E,A,M2MA,M2MA,1008230,,1000,1000,1000,,16,0,0,,,1,1,1,0,0,0,,0,B,,,,ALL,,5/11/2017 9:54,,SUPER,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,16,0,1,5/11/2017 3:54,5/18/2017 7:54:57 AM,SUPER,SUPER,,,,,,,,,,,0
M2M03A,ARCSG03,4MEZSTR1,E,A,M2MA,M2MA,1008215,,1000,1000,1000,,16,0,0,,,1,1,1,0,0,0,,0,B,,,,ALL,,5/11/2017 9:54,,SUPER,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,16,0,1,5/11/2017 3:54,5/18/2017 7:54:57 AM,SUPER,SUPER,,,,,,,,,,,0
M2M04A,ARCSG03,4MEZSTR1,E,A,M2MA,M2MA,1008200,,1000,1000,1000,,16,0,0,,,1,1,1,0,0,0,,0,B,,,,ALL,,5/11/2017 9:54,,SUPER,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,16,0,1,5/11/2017 3:54,5/18/2017 7:54:57 AM,SUPER,SUPER,,,,,,,,,,,0
M2M05A,ARCSG03,4MEZSTR1,E,A,M2MA,M2MA,1008185,,1000,1000,1000,,16,0,0,,,1,1,1,0,0,0,,0,B,,,,ALL,,5/11/2017 9:54,,SUPER,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,16,0,1,5/11/2017 3:54,5/18/2017 7:54:57 AM,SUPER,SUPER,,,,,,,,,,,0
M2M06A,ARCSG03,4MEZSTR1,E,A,M2MA,M2MA,1008170,,1000,1000,1000,,16,0,0,,,1,1,1,0,0,0,,0,B,,,,ALL,,5/11/2017 9:54,,SUPER,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,16,0,1,5/11/2017 3:54,5/18/2017 7:54:57 AM,SUPER,SUPER,,,,,,,,,,,0
M2M07A,ARCSG03,4MEZSTR1,E,A,M2MA,M2MA,1008155,,1000,1000,1000,,16,0,0,,,1,1,1,0,0,0,,0,B,,,,ALL,,5/11/2017 9:54,,SUPER,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,16,0,1,5/11/2017 3:54,5/18/2017 7:54:57 AM,SUPER,SUPER,,,,,,,,,,,0
M2M08A,ARCSG03,4MEZSTR1,E,A,M2MA,M2MA,1008140,,1000,1000,1000,,16,0,0,,,1,1,1,0,0,0,,0,B,,,,ALL,,5/11/2017 9:54,,SUPER,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,16,0,1,5/11/2017 3:54,5/18/2017 7:54:57 AM,SUPER,SUPER,,,,,,,,,,,0
M2M09A,ARCSG03,4MEZSTR1,E,A,M2MA,M2MA,1008125,,1000,1000,1000,,16,0,0,,,1,1,1,0,0,0,,0,B,,,,ALL,,5/11/2017 9:54,,SUPER,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,16,0,1,5/11/2017 3:54,5/18/2017 7:54:57 AM,SUPER,SUPER,,,,,,,,,,,0
M2M10A,ARCSG03,4MEZSTR1,E,A,M2MA,M2MA,1008110,,1000,1000,1000,,16,0,0,,,1,1,1,0,0,0,,0,B,,,,ALL,,5/11/2017 9:54,,SUPER,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,16,0,1,5/11/2017 3:54,5/18/2017 7:54:57 AM,SUPER,SUPER,,,,,,,,,,,0
