blk,highbtm,hightop,bastrv
AL,16,20,110000
AM,36,40,120000
BL,20,20,110000
BM,40,40,120000
BR,60,60,130000
CL,19,20,310000
CM,39,40,320000
CR,59,60,330000
DL,19,20,310000
DM,39,40,320000
DR,58,60,330000
EL,19,20,510000
EM,59,40,520000
ER,79,60,530000
FL,16,17,510000
FM,48,33,520000
FR,78,48,530000
GL,19,20,710000
GM,39,40,720000
GR,79,60,730000
HL,20,20,710000
HM,40,40,720000
HR,104,72,730000
IL,20,20,910000
IM,40,40,920000
IR,104,72,930000
JL,40,20,910000
JM,60,40,920000
JR,124,72,930000
KL,40,20,1110000
KM,80,40,1120000
KR,144,72,1130000
LL,40,20,1110000
LM,80,40,1120000
LR,136,68,1130000
ML,51,17,1310000
MM,99,33,1320000
NL,60,20,1310000
NM,120,40,1320000
OL,60,20,1510000
OM,120,40,1520000
PL,51,17,1510000
PM,105,35,1520000
