wh_id,bldg_id,search_path_typ,arecod,lodlvl,uomcod,prtfam,inv_attr_str1
SGDC,Greenwich,PICK,HOTPICK,S,,,
SGDC,Greenwich,PICK,HOTPICK,D,,,
SGDC,Greenwich,PICK,CD,D,,Beauty,
SGDC,Greenwich,PICK,EL,D,,Beauty,
SGDC,Greenwich,PICK,LN,D,,Beauty,
SGDC,Greenwich,PICK,CQ,D,,Beauty,
SGDC,Greenwich,PICK,GU,D,,Beauty,
SGDC,Greenwich,PICK,GV,D,,Beauty,
SGDC,Greenwich,PICK,CMD,D,,Beauty,
SGDC,Greenwich,PICK,CWB,D,,Beauty,
SGDC,Greenwich,PICK,KH,D,,Beauty,
SGDC,Greenwich,PICK,CKB,D,,Beauty,
SGDC,Greenwich,PICK,CTR,D,,Beauty,
SGDC,Greenwich,PICK,CEB,D,,Beauty,
SGDC,Greenwich,PICK,CLOO,D,,Beauty,
SGDC,Greenwich,PICK,CTRD,D,,Beauty,
SGDC,Greenwich,PICK,VS,D,,Beauty,
SGDC,Greenwich,PICK,FRA,D,,Beauty,
SGDC,Greenwich,PICK,HFRA,D,,Beauty,
SGDC,Greenwich,PICK,GNRC,D,,Beauty,
SGDC,Greenwich,PICK,GFT,D,,Beauty,
SGDC,Greenwich,PICK,CIGARA,D,,Cigar,
SGDC,Greenwich,PICK,DPSG,D,,Liquor,1395
SGDC,Greenwich,PICK,DPSG,D,,Wine-Champ,1395
SGDC,Greenwich,PICK,DPSG,D,,Beer,1395
SGDC,Greenwich,PICK,DPSG,D,,Prestige,1395
SGDC,Greenwich,PICK,DPSG,D,,Psg-Liquor,1395
SGDC,Greenwich,PICK,FC,S,,Food-Candy,
SGDC,Greenwich,PICK,LQRR,L,,Liquor,1396
SGDC,Greenwich,PICK,LQRR,L,,Liquor,1506
SGDC,Greenwich,PICK,LQRR,L,,Liquor,2032
SGDC,Greenwich,PICK,LQRR,L,,Beer,1396
SGDC,Greenwich,PICK,LQRR,L,,Beer,1506
SGDC,Greenwich,PICK,LQRR,L,,Beer,2032
SGDC,Greenwich,PICK,LQRR,L,,Packaging,1396
SGDC,Greenwich,PICK,LQRR,L,,Packaging,1506
SGDC,Greenwich,PICK,LQRR,L,,Packaging,2032
SGDC,Greenwich,PICK,LQRD,S,,Liquor,1396
SGDC,Greenwich,PICK,VLQRD,S,,Liquor,1506
SGDC,Greenwich,PICK,LQRD,S,,Liquor,2032
SGDC,Greenwich,PICK,LQRD,S,,Beer,1396
SGDC,Greenwich,PICK,VLQRD,S,,Beer,1506
SGDC,Greenwich,PICK,LQRD,S,,Beer,2032
SGDC,Greenwich,PICK,LQRD,S,,Packaging,1396
SGDC,Greenwich,PICK,VLQRD,S,,Packaging,1506
SGDC,Greenwich,PICK,LQRD,S,,Packaging,2032
SGDC,Greenwich,PICK,LQRDC,S,,Liquor,1396
SGDC,Greenwich,PICK,VLQRDC,S,,Liquor,1506
SGDC,Greenwich,PICK,LQRDC,S,,Liquor,2032
SGDC,Greenwich,PICK,LQRDC,S,,Beer,1396
SGDC,Greenwich,PICK,VLQRDC,S,,Beer,1506
SGDC,Greenwich,PICK,LQRDC,S,,Beer,2032
SGDC,Greenwich,PICK,LQRDC,S,,Packaging,1396
SGDC,Greenwich,PICK,VLQRDC,S,,Packaging,1506
SGDC,Greenwich,PICK,LQRDC,S,,Packaging,2032
SGDC,Greenwich,PICK,PRSGR,L,,Prestige,1396
SGDC,Greenwich,PICK,PRSGR,L,,Prestige,1506
SGDC,Greenwich,PICK,PRSGR,L,,Prestige,2032
SGDC,Greenwich,PICK,PRSGR,L,,Psg-Liquor,1396
SGDC,Greenwich,PICK,PRSGR,L,,Psg-Liquor,1506
SGDC,Greenwich,PICK,PRSGR,L,,Psg-Liquor,2032
SGDC,Greenwich,PICK,PRSG,S,,Prestige,1396
SGDC,Greenwich,PICK,PRSG,S,,Prestige,1506
SGDC,Greenwich,PICK,PRSG,S,,Prestige,2032
SGDC,Greenwich,PICK,PRSG,S,,Psg-Liquor,1396
SGDC,Greenwich,PICK,PRSG,S,,Psg-Liquor,1506
SGDC,Greenwich,PICK,PRSG,S,,Psg-Liquor,2032
SGDC,Greenwich,PICK,PRSG,D,,Prestige,1396
SGDC,Greenwich,PICK,PRSG,D,,Prestige,1506
SGDC,Greenwich,PICK,PRSG,D,,Prestige,2032
SGDC,Greenwich,PICK,PRSG,D,,Psg-Liquor,1396
SGDC,Greenwich,PICK,PRSG,D,,Psg-Liquor,1506
SGDC,Greenwich,PICK,PRSG,D,,Psg-Liquor,2032
SGDC,Greenwich,PICK,TOBR,L,,Tobacco,
SGDC,Greenwich,PICK,TOBD,S,,Tobacco,
SGDC,Greenwich,PICK,TOBDC,S,,Tobacco,
SGDC,Greenwich,PICK,WINR,L,,Wine-Champ,1396
SGDC,Greenwich,PICK,WINR,L,,Wine-Champ,1506
SGDC,Greenwich,PICK,WINR,L,,Wine-Champ,2032
SGDC,Greenwich,PICK,WIND,S,,Wine-Champ,1396
SGDC,Greenwich,PICK,VWIND,S,,Wine-Champ,1506
SGDC,Greenwich,PICK,WIND,S,,Wine-Champ,2032
SGDC,Greenwich,PICK,WINDC,S,,Wine-Champ,1396
SGDC,Greenwich,PICK,VWINDC,S,,Wine-Champ,1506
SGDC,Greenwich,PICK,WINDC,S,,Wine-Champ,2032
SGDC,Greenwich,PICK,SOUV,D,,Souvenir,
SGDC,Greenwich,PICK,PKGS,S,,Packaging,1394
SGDC,Greenwich,PICK,PKGS,S,,Packaging,1395
SGDC,Greenwich,PICK,PKGS,S,,GDC,1395
SGDC,Greenwich,PICK,PKGS,S,,GDC,1396
