wh_id,bldg_id,search_path_typ,arecod,lodlvl,uomcod,prtfam,inv_attr_str1
S,Greenwich,PICK,HOTPICK,L,,,
S,Greenwich,PICK,HOTPICK,S,,,
S,Greenwich,PICK,HOTPICK,D,,,
S,Greenwich,PICK,CD,D,,,
S,Greenwich,PICK,EL,D,,,
S,Greenwich,PICK,LN,D,,,
S,Greenwich,PICK,CQ,D,,,
S,Greenwich,PICK,GU,D,,,
S,Greenwich,PICK,GV,D,,,
S,Greenwich,PICK,CMD,D,,,
S,Greenwich,PICK,CWB,D,,,
S,Greenwich,PICK,KH,D,,,
S,Greenwich,PICK,CKB,D,,,
S,Greenwich,PICK,CTR,D,,,
S,Greenwich,PICK,CEB,D,,,
S,Greenwich,PICK,CLOO,D,,,
S,Greenwich,PICK,CTRD,D,,,
S,Greenwich,PICK,VS,D,,,
S,Greenwich,PICK,FRA,D,,,
S,Greenwich,PICK,HFRA,D,,,
S,Greenwich,PICK,GNRC,D,,,
S,Greenwich,PICK,GFT,D,,,
S,Greenwich,PICK,CIGARA,D,,,
S,Greenwich,PICK,DPSG,D,,,
S,Greenwich,PICK,FC,S,,,
S,Greenwich,PICK,LQRR,L,,,
S,Greenwich,PICK,LQRD,S,,,
S,Greenwich,PICK,VLQRD,S,,,
S,Greenwich,PICK,VLQRDC,S,,,
S,Greenwich,PICK,PRSGR,L,,,
S,Greenwich,PICK,PRSG,S,,,
S,Greenwich,PICK,PRSG,D,,,
S,Greenwich,PICK,TOBR,L,,,
S,Greenwich,PICK,TOBD,S,,,
S,Greenwich,PICK,TOBDC,S,,,
S,Greenwich,PICK,WINR,L,,,
S,Greenwich,PICK,WIND,S,,,
S,Greenwich,PICK,WINDC,S,,,
S,Greenwich,PICK,VWIND,S,,,
S,Greenwich,PICK,VWINDC,S,,,
S,Greenwich,PICK,SOUV,D,,,
S,Greenwich,PICK,PKGS,S,,,
