arecod,wh_id,bldg_id,sigflg,pckcod,conflg,loccod,fifflg,lodflg,subflg,dtlflg,praflg,expflg,rcv_dck_flg,adjflg,stgflg,shpflg,wipflg,fwiflg,cntflg,xdaflg,icnflg,prd_stgflg,wip_supflg,wip_expflg,pdflg,shp_dck_flg,yrdflg,rnwl_sto_flg,cnzcod,cnzamt,def_rplcfg_invsts,def_rplcfg_pctflg,def_rplcfg_maxunt,def_rplcfg_minunt,stoare_flg,ctngrp,rdtflg,autclr_prcare,rcv_stgflg,prod_flg,put_to_sto_flg,pck_to_sto_flg,recalc_putaway,lost_loc,lbl_on_split,split_trn,con_pal_flg,share_loc_flg,pck_steal_flg,cmb_list_flg,pck_exp_are,sto_trlr_flg,bto_kit_dep_flg,shp_stg_ovrd_flg,ftl_flg,prox_put_cod,start_pal_flg,dyn_slot_flg,dispatch_flg,dstr_flg,dstr_pck_pal_flg,dstr_pck_ctn_flg,dstr_sug_pal_flg,dstr_sug_ctn_flg,dstr_excp_loc,moddte,mod_usr_id,u_version,ins_dt,last_upd_dt,ins_user_id,last_upd_user_id
CD,SGDC,Greenwich,1,S,1,E,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,QTY,0,,1,,,1,,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,sysdate,SAMNI,1,sysdate,sysdate,SAMNI,SAMNI
EL,SGDC,Greenwich,1,S,1,E,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,QTY,0,,1,,,1,,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,sysdate,SAMNI,1,sysdate,sysdate,SAMNI,SAMNI
LN,SGDC,Greenwich,1,S,1,E,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,QTY,0,,1,,,1,,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,sysdate,SAMNI,1,sysdate,sysdate,SAMNI,SAMNI
CQ,SGDC,Greenwich,1,S,1,E,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,QTY,0,,1,,,1,,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,sysdate,SAMNI,1,sysdate,sysdate,SAMNI,SAMNI
GU,SGDC,Greenwich,1,S,1,E,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,QTY,0,,1,,,1,,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,sysdate,SAMNI,1,sysdate,sysdate,SAMNI,SAMNI
GV,SGDC,Greenwich,1,S,1,E,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,QTY,0,,1,,,1,,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,sysdate,SAMNI,1,sysdate,sysdate,SAMNI,SAMNI
CMD,SGDC,Greenwich,1,S,1,E,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,QTY,0,,1,,,1,,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,sysdate,SAMNI,1,sysdate,sysdate,SAMNI,SAMNI
CWB,SGDC,Greenwich,1,S,1,E,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,QTY,0,,1,,,1,,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,sysdate,SAMNI,1,sysdate,sysdate,SAMNI,SAMNI
KH,SGDC,Greenwich,1,S,1,E,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,QTY,0,,1,,,1,,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,sysdate,SAMNI,1,sysdate,sysdate,SAMNI,SAMNI
CKB,SGDC,Greenwich,1,S,1,E,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,QTY,0,,1,,,1,,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,sysdate,SAMNI,1,sysdate,sysdate,SAMNI,SAMNI
