devcod,wh_id,devcls,devnam,prtadr,lst_usr_id,lbl_prtadr,rfid_prtadr,locale_id,wko_prcloc,touchscreen_flg,pko_prcare,spl_hand_loc,pko_autoctnnum_flg,moddte,mod_usr_id,u_version,scale_ser_dev_id,scanner_ser_dev_id,ins_dt,last_upd_dt,ins_user_id,last_upd_user_id
RDT001,SGDC,R,RDT001,,SAMNI,,,,,0,,,0,sysdate,SAMNI,1,,,sysdate,sysdate,SAMNI,SAMNI
RDT002,SGDC,R,RDT002,,SAMNI,,,,,0,,,0,sysdate,SAMNI,1,,,sysdate,sysdate,SAMNI,SAMNI
RDT003,SGDC,R,RDT003,,SAMNI,,,,,0,,,0,sysdate,SAMNI,1,,,sysdate,sysdate,SAMNI,SAMNI
RDT004,SGDC,R,RDT004,,SAMNI,,,,,0,,,0,sysdate,SAMNI,1,,,sysdate,sysdate,SAMNI,SAMNI
RDT005,SGDC,R,RDT005,,SAMNI,,,,,0,,,0,sysdate,SAMNI,1,,,sysdate,sysdate,SAMNI,SAMNI
RDT006,SGDC,R,RDT006,,SAMNI,,,,,0,,,0,sysdate,SAMNI,1,,,sysdate,sysdate,SAMNI,SAMNI
RDT007,SGDC,R,RDT007,,SAMNI,,,,,0,,,0,sysdate,SAMNI,1,,,sysdate,sysdate,SAMNI,SAMNI
RDT008,SGDC,R,RDT008,,SAMNI,,,,,0,,,0,sysdate,SAMNI,1,,,sysdate,sysdate,SAMNI,SAMNI
RDT009,SGDC,R,RDT009,,SAMNI,,,,,0,,,0,sysdate,SAMNI,1,,,sysdate,sysdate,SAMNI,SAMNI
RDT010,SGDC,R,RDT010,,SAMNI,,,,,0,,,0,sysdate,SAMNI,1,,,sysdate,sysdate,SAMNI,SAMNI
RDT011,SGDC,R,RDT011,,SAMNI,,,,,0,,,0,sysdate,SAMNI,1,,,sysdate,sysdate,SAMNI,SAMNI
RDT012,SGDC,R,RDT012,,SAMNI,,,,,0,,,0,sysdate,SAMNI,1,,,sysdate,sysdate,SAMNI,SAMNI
RDT013,SGDC,R,RDT013,,SAMNI,,,,,0,,,0,sysdate,SAMNI,1,,,sysdate,sysdate,SAMNI,SAMNI
RDT014,SGDC,R,RDT014,,SAMNI,,,,,0,,,0,sysdate,SAMNI,1,,,sysdate,sysdate,SAMNI,SAMNI
RDT015,SGDC,R,RDT015,,SAMNI,,,,,0,,,0,sysdate,SAMNI,1,,,sysdate,sysdate,SAMNI,SAMNI
RDT016,SGDC,R,RDT016,,SAMNI,,,,,0,,,0,sysdate,SAMNI,1,,,sysdate,sysdate,SAMNI,SAMNI
RDT017,SGDC,R,RDT017,,SAMNI,,,,,0,,,0,sysdate,SAMNI,1,,,sysdate,sysdate,SAMNI,SAMNI
RDT018,SGDC,R,RDT018,,SAMNI,,,,,0,,,0,sysdate,SAMNI,1,,,sysdate,sysdate,SAMNI,SAMNI
RDT019,SGDC,R,RDT019,,SAMNI,,,,,0,,,0,sysdate,SAMNI,1,,,sysdate,sysdate,SAMNI,SAMNI
RDT020,SGDC,R,RDT020,,SAMNI,,,,,0,,,0,sysdate,SAMNI,1,,,sysdate,sysdate,SAMNI,SAMNI
RDT021,SGDC,R,RDT021,,SAMNI,,,,,0,,,0,sysdate,SAMNI,1,,,sysdate,sysdate,SAMNI,SAMNI
RDT022,SGDC,R,RDT022,,SAMNI,,,,,0,,,0,sysdate,SAMNI,1,,,sysdate,sysdate,SAMNI,SAMNI
RDT023,SGDC,R,RDT023,,SAMNI,,,,,0,,,0,sysdate,SAMNI,1,,,sysdate,sysdate,SAMNI,SAMNI
RDT024,SGDC,R,RDT024,,SAMNI,,,,,0,,,0,sysdate,SAMNI,1,,,sysdate,sysdate,SAMNI,SAMNI
RDT025,SGDC,R,RDT025,,SAMNI,,,,,0,,,0,sysdate,SAMNI,1,,,sysdate,sysdate,SAMNI,SAMNI
RDT026,SGDC,R,RDT026,,SAMNI,,,,,0,,,0,sysdate,SAMNI,1,,,sysdate,sysdate,SAMNI,SAMNI
RDT027,SGDC,R,RDT027,,SAMNI,,,,,0,,,0,sysdate,SAMNI,1,,,sysdate,sysdate,SAMNI,SAMNI
RDT028,SGDC,R,RDT028,,SAMNI,,,,,0,,,0,sysdate,SAMNI,1,,,sysdate,sysdate,SAMNI,SAMNI
RDT029,SGDC,R,RDT029,,SAMNI,,,,,0,,,0,sysdate,SAMNI,1,,,sysdate,sysdate,SAMNI,SAMNI
RDT030,SGDC,R,RDT030,,SAMNI,,,,,0,,,0,sysdate,SAMNI,1,,,sysdate,sysdate,SAMNI,SAMNI
RDT031,SGDC,R,RDT031,,SAMNI,,,,,0,,,0,sysdate,SAMNI,1,,,sysdate,sysdate,SAMNI,SAMNI
RDT032,SGDC,R,RDT032,,SAMNI,,,,,0,,,0,sysdate,SAMNI,1,,,sysdate,sysdate,SAMNI,SAMNI
RDT033,SGDC,R,RDT033,,SAMNI,,,,,0,,,0,sysdate,SAMNI,1,,,sysdate,sysdate,SAMNI,SAMNI
RDT034,SGDC,R,RDT034,,SAMNI,,,,,0,,,0,sysdate,SAMNI,1,,,sysdate,sysdate,SAMNI,SAMNI
RDT035,SGDC,R,RDT035,,SAMNI,,,,,0,,,0,sysdate,SAMNI,1,,,sysdate,sysdate,SAMNI,SAMNI
RDT036,SGDC,R,RDT036,,SAMNI,,,,,0,,,0,sysdate,SAMNI,1,,,sysdate,sysdate,SAMNI,SAMNI
RDT037,SGDC,R,RDT037,,SAMNI,,,,,0,,,0,sysdate,SAMNI,1,,,sysdate,sysdate,SAMNI,SAMNI
RDT038,SGDC,R,RDT038,,SAMNI,,,,,0,,,0,sysdate,SAMNI,1,,,sysdate,sysdate,SAMNI,SAMNI
RDT039,SGDC,R,RDT039,,SAMNI,,,,,0,,,0,sysdate,SAMNI,1,,,sysdate,sysdate,SAMNI,SAMNI
RDT040,SGDC,R,RDT040,,SAMNI,,,,,0,,,0,sysdate,SAMNI,1,,,sysdate,sysdate,SAMNI,SAMNI
RDT041,SGDC,R,RDT041,,SAMNI,,,,,0,,,0,sysdate,SAMNI,1,,,sysdate,sysdate,SAMNI,SAMNI
RDT042,SGDC,R,RDT042,,SAMNI,,,,,0,,,0,sysdate,SAMNI,1,,,sysdate,sysdate,SAMNI,SAMNI
RDT043,SGDC,R,RDT043,,SAMNI,,,,,0,,,0,sysdate,SAMNI,1,,,sysdate,sysdate,SAMNI,SAMNI
RDT044,SGDC,R,RDT044,,SAMNI,,,,,0,,,0,sysdate,SAMNI,1,,,sysdate,sysdate,SAMNI,SAMNI
RDT045,SGDC,R,RDT045,,SAMNI,,,,,0,,,0,sysdate,SAMNI,1,,,sysdate,sysdate,SAMNI,SAMNI
RDT046,SGDC,R,RDT046,,SAMNI,,,,,0,,,0,sysdate,SAMNI,1,,,sysdate,sysdate,SAMNI,SAMNI
RDT047,SGDC,R,RDT047,,SAMNI,,,,,0,,,0,sysdate,SAMNI,1,,,sysdate,sysdate,SAMNI,SAMNI
RDT048,SGDC,R,RDT048,,SAMNI,,,,,0,,,0,sysdate,SAMNI,1,,,sysdate,sysdate,SAMNI,SAMNI
RDT049,SGDC,R,RDT049,,SAMNI,,,,,0,,,0,sysdate,SAMNI,1,,,sysdate,sysdate,SAMNI,SAMNI
RDT050,SGDC,R,RDT050,,SAMNI,,,,,0,,,0,sysdate,SAMNI,1,,,sysdate,sysdate,SAMNI,SAMNI
RDT051,SGDC,R,RDT051,,SAMNI,,,,,0,,,0,sysdate,SAMNI,1,,,sysdate,sysdate,SAMNI,SAMNI
RDT052,SGDC,R,RDT052,,SAMNI,,,,,0,,,0,sysdate,SAMNI,1,,,sysdate,sysdate,SAMNI,SAMNI
RDT053,SGDC,R,RDT053,,SAMNI,,,,,0,,,0,sysdate,SAMNI,1,,,sysdate,sysdate,SAMNI,SAMNI
