arecod,stoloc,wh_id,locsts,velzon,wrkzon,aisle_id,trvseq,rescod,lochgt,loclen,locwid,locvrc,maxqvl,curqvl,pndqvl,trfpct,erfpct,useflg,stoflg,pckflg,repflg,asgflg,cipflg,cntseq,numcnt,abccod,cntdte,devcod,lokcod,locacc,voc_chkdgt,lstdte,lstcod,lst_usr_id,slotseq,perm_asgflg,cntzon_id,section,x,y,z,attr1,attr2,attr3,attr4,attr5,basepoint_id,top_left_x,top_left_y,top_right_x,top_right_y,bottom_left_x,bottom_left_y,bottom_right_x,bottom_right_y,border_pad,auto_mov_flg,slot_id,def_maxqvl,ignore_psh_flg,u_version,ins_dt,last_upd_dt,ins_user_id,last_upd_user_id,cntbck_ena_flg,prdlin,stgloc
WINR,ZZ02001,SGDC,E,B,NFPFWZ,,10000001,,9999999,9999999,9999999,,1,0,0,0,0,1,1,1,0,0,0,,0,,,,,,,,,,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,1000,0,1,sysdate,sysdate,TEMP,TEMP,0,,
WINR,ZZ03001,SGDC,E,B,NFPFWZ,,10000002,,9999999,9999999,9999999,,1,0,0,0,0,1,1,1,0,0,0,,0,,,,,,,,,,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,1000,0,1,sysdate,sysdate,TEMP,TEMP,0,,
WINR,ZZ04001,SGDC,E,B,NFPFWZ,,10000003,,9999999,9999999,9999999,,1,0,0,0,0,1,1,1,0,0,0,,0,,,,,,,,,,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,1000,0,1,sysdate,sysdate,TEMP,TEMP,0,,
WINR,ZZ02002,SGDC,E,B,NFPFWZ,,10000777,,9999999,9999999,9999999,,1,0,0,0,0,1,1,1,0,0,0,,0,,,,,,,,,,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,1000,0,1,sysdate,sysdate,TEMP,TEMP,0,,
WINR,ZZ03002,SGDC,E,B,NFPFWZ,,10000777,,9999999,9999999,9999999,,1,0,0,0,0,1,1,1,0,0,0,,0,,,,,,,,,,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,1000,0,1,sysdate,sysdate,TEMP,TEMP,0,,
WINR,ZZ04002,SGDC,E,B,NFPFWZ,,10000777,,9999999,9999999,9999999,,1,0,0,0,0,1,1,1,0,0,0,,0,,,,,,,,,,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,1000,0,1,sysdate,sysdate,TEMP,TEMP,0,,
WINR,ZZ02003,SGDC,E,B,NFPFWZ,,10000888,,9999999,9999999,9999999,,1,0,0,0,0,1,1,1,0,0,0,,0,,,,,,,,,,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,1000,0,1,sysdate,sysdate,TEMP,TEMP,0,,
WINR,ZZ03003,SGDC,E,B,NFPFWZ,,10000888,,9999999,9999999,9999999,,1,0,0,0,0,1,1,1,0,0,0,,0,,,,,,,,,,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,1000,0,1,sysdate,sysdate,TEMP,TEMP,0,,
WINR,ZZ04003,SGDC,E,B,NFPFWZ,,10000888,,9999999,9999999,9999999,,1,0,0,0,0,1,1,1,0,0,0,,0,,,,,,,,,,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,1000,0,1,sysdate,sysdate,TEMP,TEMP,0,,
WINDC,WW01001,SGDC,E,B,NFPFWZ,,10000000,,9999999,9999999,9999999,,100,0,0,0,0,1,1,1,1,0,0,,0,,,,,,,,,,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,1000,0,1,sysdate,sysdate,TEMP,TEMP,0,,
WINDC,WW01002,SGDC,E,B,NFPFWZ,,10000777,,9999999,9999999,9999999,,100,0,0,0,0,1,1,1,1,0,0,,0,,,,,,,,,,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,1000,0,1,sysdate,sysdate,TEMP,TEMP,0,,
WINDC,WW01003,SGDC,E,B,NFPFWZ,,10000888,,9999999,9999999,9999999,,100,0,0,0,0,1,1,1,1,0,0,,0,,,,,,,,,,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,1000,0,1,sysdate,sysdate,TEMP,TEMP,0,,
WIND,YY01001,SGDC,E,B,NFPFWZ,,10000004,,9999999,9999999,9999999,,100,0,0,0,0,1,1,1,1,0,0,,0,,,,,,,,,,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,1000,0,1,sysdate,sysdate,TEMP,TEMP,0,,
WIND,YY01002,SGDC,E,B,NFPFWZ,,10000777,,9999999,9999999,9999999,,100,0,0,0,0,1,1,1,1,0,0,,0,,,,,,,,,,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,1000,0,1,sysdate,sysdate,TEMP,TEMP,0,,
WIND,YY01003,SGDC,E,B,NFPFWZ,,10000888,,9999999,9999999,9999999,,100,0,0,0,0,1,1,1,1,0,0,,0,,,,,,,,,,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,1000,0,1,sysdate,sysdate,TEMP,TEMP,0,,
BTGLB,XX01001,SGDC,E,B,LWZ,,20000000,,9999999,9999999,9999999,,100,0,0,0,0,1,1,1,1,0,0,,0,,,,,,,,,,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,1000,0,1,sysdate,sysdate,TEMP,TEMP,0,,
