arecod,stos,stoe,wh_id,locsts,velzon,wrkzon,aisle_id,bastrv,trvord,rescod,lochgt,loclen,locwid,locvrc,maxqvl,curqvl,pndqvl,trfpct,erfpct,useflg,stoflg,pckflg,repflg,asgflg,cipflg,cntseq,numcnt,abccod,cntdte,devcod,lokcod,locacc,voc_chkdgt,lstdte,lstcod,lst_usr_id,slotseq,perm_asgflg,cntzon_id,section,x,y,z,attr1,attr2,attr3,attr4,attr5,basepoint_id,top_left_x,top_left_y,top_right_x,top_right_y,bottom_left_x,bottom_left_y,bottom_right_x,bottom_right_y,border_pad,auto_mov_flg,slot_id,def_maxqvl,ignore_psh_flg,u_version,ins_dt,last_upd_dt,ins_user_id,last_upd_user_id,cntbck_ena_flg,prdlin,stgloc
VLQRD,A01017,A01036,SGDC,E,B,NFPFWZ,,100000,dsc,,9999999,9999999,9999999,,1,0,0,0,0,1,1,1,0,0,0,,0,,,,,LOW,,,,,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,1,0,1,sysdate,sysdate,SAMNI,SAMNI,0,,
LQRD,A01001,A01016,SGDC,E,B,NFPFWZ,,100000,dsc,,9999999,9999999,9999999,,1,0,0,0,0,1,1,1,0,0,0,,0,,,,,LOW,,,,,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,1,0,1,sysdate,sysdate,SAMNI,SAMNI,0,,
LQRR,A02001,A02040,SGDC,E,B,NFRSWZ,,100000,dsc,,9999999,9999999,9999999,,1,0,0,0,0,1,1,1,0,0,0,,0,,,,,HIGH,,,,,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,1,0,1,sysdate,sysdate,SAMNI,SAMNI,0,,
LQRR,A03001,A03040,SGDC,E,B,NFRSWZ,,100000,dsc,,9999999,9999999,9999999,,1,0,0,0,0,1,1,1,0,0,0,,0,,,,,HIGH,,,,,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,1,0,1,sysdate,sysdate,SAMNI,SAMNI,0,,
LQRR,A04001,A04040,SGDC,E,B,NFRSWZ,,100000,dsc,,9999999,9999999,9999999,,1,0,0,0,0,1,1,1,0,0,0,,0,,,,,HIGH,,,,,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,1,0,1,sysdate,sysdate,SAMNI,SAMNI,0,,
LQRR,A05001,A05040,SGDC,E,B,NFRSWZ,,100000,dsc,,9999999,9999999,9999999,,1,0,0,0,0,1,1,1,0,0,0,,0,,,,,HIGH,,,,,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,1,0,1,sysdate,sysdate,SAMNI,SAMNI,0,,
LQRD,B01001,B01020,SGDC,E,B,NFPFWZ,,200000,asc,,9999999,9999999,9999999,,1,0,0,0,0,1,1,1,0,0,0,,0,,,,,LOW,,,,,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,1,0,1,sysdate,sysdate,SAMNI,SAMNI,0,,
VLQRD,B01021,B01040,SGDC,E,B,NFPFWZ,,200000,asc,,9999999,9999999,9999999,,1,0,0,0,0,1,1,1,0,0,0,,0,,,,,LOW,,,,,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,1,0,1,sysdate,sysdate,SAMNI,SAMNI,0,,
LQRR,B02001,B02040,SGDC,E,B,NFRSWZ,,200000,asc,,9999999,9999999,9999999,,1,0,0,0,0,1,1,1,0,0,0,,0,,,,,HIGH,,,,,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,1,0,1,sysdate,sysdate,SAMNI,SAMNI,0,,
LQRR,B03001,B03040,SGDC,E,B,NFRSWZ,,200000,asc,,9999999,9999999,9999999,,1,0,0,0,0,1,1,1,0,0,0,,0,,,,,HIGH,,,,,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,1,0,1,sysdate,sysdate,SAMNI,SAMNI,0,,
LQRR,B04001,B04040,SGDC,E,B,NFRSWZ,,200000,asc,,9999999,9999999,9999999,,1,0,0,0,0,1,1,1,0,0,0,,0,,,,,HIGH,,,,,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,1,0,1,sysdate,sysdate,SAMNI,SAMNI,0,,
LQRR,B05001,B05040,SGDC,E,B,NFRSWZ,,200000,asc,,9999999,9999999,9999999,,1,0,0,0,0,1,1,1,0,0,0,,0,,,,,HIGH,,,,,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,1,0,1,sysdate,sysdate,SAMNI,SAMNI,0,,
VLQRD,C01020,C01039,SGDC,E,B,NFPFWZ,,300000,dsc,,9999999,9999999,9999999,,1,0,0,0,0,1,1,1,0,0,0,,0,,,,,LOW,,,,,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,1,0,1,sysdate,sysdate,SAMNI,SAMNI,0,,
LQRD,C01001,C01019,SGDC,E,B,NFPFWZ,,300000,dsc,,9999999,9999999,9999999,,1,0,0,0,0,1,1,1,0,0,0,,0,,,,,LOW,,,,,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,1,0,1,sysdate,sysdate,SAMNI,SAMNI,0,,
LQRR,C02001,C02040,SGDC,E,B,NFRSWZ,,300000,dsc,,9999999,9999999,9999999,,1,0,0,0,0,1,1,1,0,0,0,,0,,,,,HIGH,,,,,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,1,0,1,sysdate,sysdate,SAMNI,SAMNI,0,,
LQRR,C03001,C03040,SGDC,E,B,NFRSWZ,,300000,dsc,,9999999,9999999,9999999,,1,0,0,0,0,1,1,1,0,0,0,,0,,,,,HIGH,,,,,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,1,0,1,sysdate,sysdate,SAMNI,SAMNI,0,,
LQRR,C04001,C04040,SGDC,E,B,NFRSWZ,,300000,dsc,,9999999,9999999,9999999,,1,0,0,0,0,1,1,1,0,0,0,,0,,,,,HIGH,,,,,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,1,0,1,sysdate,sysdate,SAMNI,SAMNI,0,,
LQRR,C05001,C05040,SGDC,E,B,NFRSWZ,,300000,dsc,,9999999,9999999,9999999,,1,0,0,0,0,1,1,1,0,0,0,,0,,,,,HIGH,,,,,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,1,0,1,sysdate,sysdate,SAMNI,SAMNI,0,,
LQRD,D01001,D01019,SGDC,E,B,NFPFWZ,,400000,asc,,9999999,9999999,9999999,,1,0,0,0,0,1,1,1,0,0,0,,0,,,,,LOW,,,,,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,1,0,1,sysdate,sysdate,SAMNI,SAMNI,0,,
VLQRD,D01020,D01039,SGDC,E,B,NFPFWZ,,400000,asc,,9999999,9999999,9999999,,1,0,0,0,0,1,1,1,0,0,0,,0,,,,,LOW,,,,,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,1,0,1,sysdate,sysdate,SAMNI,SAMNI,0,,
