arecod,stos,stoe,wh_id,locsts,velzon,wrkzon,aisle_id,bastrv,trvord
FRA,AD01001,AD01091,SGDC,E,B,LWZ,,3000000,asc
FRA,AD02001,AD02091,SGDC,E,B,LWZ,,3000000,asc
FRA,AD03001,AD03091,SGDC,E,B,LWZ,,3000000,asc
FRA,AD04001,AD04091,SGDC,E,B,LWZ,,3000000,asc
FRA,AD05001,AD05091,SGDC,E,B,LWZ,,3000000,asc
FRA,AD06001,AD06091,SGDC,E,B,HWZ,,3000000,asc
FRA,AD07001,AD07091,SGDC,E,B,HWZ,,3000000,asc
FRA,AD08001,AD08091,SGDC,E,B,HWZ,,3000000,asc
FRA,AD09001,AD09091,SGDC,E,B,HWZ,,3000000,asc
FRA,AD10001,AD10091,SGDC,E,B,HWZ,,3000000,asc
FRA,AD11001,AD11091,SGDC,E,B,HWZ,,3000000,asc
FRA,AD12001,AD12091,SGDC,E,B,HWZ,,3000000,asc
FRA,AD13001,AD13091,SGDC,E,B,HWZ,,3000000,asc
FRA,AD14001,AD14091,SGDC,E,B,HWZ,,3000000,asc
FRA,AD15001,AD15091,SGDC,E,B,HWZ,,3000000,asc
FRA,AD16001,AD16091,SGDC,E,B,HWZ,,3000000,asc
FRA,AD17001,AD17091,SGDC,E,B,HWZ,,3000000,asc
FRA,AD18001,AD18091,SGDC,E,B,HWZ,,3000000,asc
FRA,AD19001,AD19091,SGDC,E,B,HWZ,,3000000,asc
CD,AE01001,AE01065,SGDC,E,B,LWZ,,3100000,asc
CD,AE02001,AE02065,SGDC,E,B,LWZ,,3100000,asc
CD,AE03001,AE03065,SGDC,E,B,LWZ,,3100000,asc
CD,AE04001,AE04065,SGDC,E,B,LWZ,,3100000,asc
CD,AE05001,AE05065,SGDC,E,B,LWZ,,3100000,asc
CD,AE06001,AE06065,SGDC,E,B,HWZ,,3100000,asc
CD,AE07001,AE07065,SGDC,E,B,HWZ,,3100000,asc
CD,AE08001,AE08065,SGDC,E,B,HWZ,,3100000,asc
CD,AE09001,AE09065,SGDC,E,B,HWZ,,3100000,asc
CD,AE10001,AE10065,SGDC,E,B,HWZ,,3100000,asc
CD,AE11001,AE11065,SGDC,E,B,HWZ,,3100000,asc
