arecod,stos,stoe,wh_id
TOBD,E01060,E01079
VLQRDC,E01020,E01059
LQRD,E01001,E01019
TOBR,E02041,E02060
TOBR,E03041,E03060
TOBR,E04041,E04060
TOBR,E05041,E05060
TOBR,E06041,E06060
LQRR,E02001,E02040
LQRR,E03001,E03040
LQRR,E04001,E04040
LQRR,E05001,E05040
LQRR,E06001,E06040
LQRD,F01001,F01016
VLQRDC,F01017,F01048
TOBD,F01049,F01078
LQRR,F02001,F02033
LQRR,F03001,F03033
LQRR,F04001,F04033
LQRR,F05001,F05033
LQRR,F06001,F06033
TOBR,F02034,F02048
TOBR,F03034,F03048
TOBR,F04034,F04048
TOBR,F05034,F05048
TOBR,F06034,F06048
TOBDC,G01040,G01079
VWIND,G01020,G01039
LQRD,G01001,G01019
TOBR,G02041,G02060
TOBR,G03041,G03060
TOBR,G04041,G04060
TOBR,G05041,G05060
TOBR,G06041,G06060
LQRR,G02001,G02040
LQRR,G03001,G03040
LQRR,G04001,G04040
LQRR,G05001,G05040
LQRR,G06001,G06040
