polcod,polvar,polval,wh_id_tmpl,srtseq,rtstr1,rtstr2,rtnum1,rtnum2,rtflt1,rtflt2,moddte,mod_usr_id,grp_nam
PICK-RELEASE,RELEASE-RULES,P_HOTPICK_XXXX_L,SGDC,0,SL_DO NOTHING,,0,0,0,0,sysdate,SAMNI,dfs_data
PICK-RELEASE,RELEASE-RULES,P_HOTPICK_XXXX_S,SGDC,0,SL_DO NOTHING,,0,0,0,0,sysdate,SAMNI,dfs_data
PICK-RELEASE,RELEASE-RULES,P_HOTPICK_XXXX_D,SGDC,0,SL_DO NOTHING,,0,0,0,0,sysdate,SAMNI,dfs_data
PICK-RELEASE,RELEASE-RULES,P_CD_XXXX_D,SGDC,0,SL_DO NOTHING,,0,0,0,0,sysdate,SAMNI,dfs_data
PICK-RELEASE,RELEASE-RULES,P_EL_XXXX_D,SGDC,0,SL_DO NOTHING,,0,0,0,0,sysdate,SAMNI,dfs_data
PICK-RELEASE,RELEASE-RULES,P_LN_XXXX_D,SGDC,0,SL_DO NOTHING,,0,0,0,0,sysdate,SAMNI,dfs_data
PICK-RELEASE,RELEASE-RULES,P_CQ_XXXX_D,SGDC,0,SL_DO NOTHING,,0,0,0,0,sysdate,SAMNI,dfs_data
PICK-RELEASE,RELEASE-RULES,P_GU_XXXX_D,SGDC,0,SL_DO NOTHING,,0,0,0,0,sysdate,SAMNI,dfs_data
PICK-RELEASE,RELEASE-RULES,P_GV_XXXX_D,SGDC,0,SL_DO NOTHING,,0,0,0,0,sysdate,SAMNI,dfs_data
PICK-RELEASE,RELEASE-RULES,P_CMD_XXXX_D,SGDC,0,SL_DO NOTHING,,0,0,0,0,sysdate,SAMNI,dfs_data
PICK-RELEASE,RELEASE-RULES,P_CWB_XXXX_D,SGDC,0,SL_DO NOTHING,,0,0,0,0,sysdate,SAMNI,dfs_data
PICK-RELEASE,RELEASE-RULES,P_KH_XXXX_D,SGDC,0,SL_DO NOTHING,,0,0,0,0,sysdate,SAMNI,dfs_data
PICK-RELEASE,RELEASE-RULES,P_CKB_XXXX_D,SGDC,0,SL_DO NOTHING,,0,0,0,0,sysdate,SAMNI,dfs_data
PICK-RELEASE,RELEASE-RULES,P_CTR_XXXX_D,SGDC,0,SL_DO NOTHING,,0,0,0,0,sysdate,SAMNI,dfs_data
PICK-RELEASE,RELEASE-RULES,P_CEB_XXXX_D,SGDC,0,SL_DO NOTHING,,0,0,0,0,sysdate,SAMNI,dfs_data
PICK-RELEASE,RELEASE-RULES,P_CLOO_XXXX_D,SGDC,0,SL_DO NOTHING,,0,0,0,0,sysdate,SAMNI,dfs_data
PICK-RELEASE,RELEASE-RULES,P_CTRD_XXXX_D,SGDC,0,SL_DO NOTHING,,0,0,0,0,sysdate,SAMNI,dfs_data
PICK-RELEASE,RELEASE-RULES,P_VS_XXXX_D,SGDC,0,SL_DO NOTHING,,0,0,0,0,sysdate,SAMNI,dfs_data
PICK-RELEASE,RELEASE-RULES,P_FRA_XXXX_D,SGDC,0,SL_DO NOTHING,,0,0,0,0,sysdate,SAMNI,dfs_data
PICK-RELEASE,RELEASE-RULES,P_HFRA_XXXX_D,SGDC,0,SL_DO NOTHING,,0,0,0,0,sysdate,SAMNI,dfs_data
PICK-RELEASE,RELEASE-RULES,P_GNRC_XXXX_D,SGDC,0,SL_DO NOTHING,,0,0,0,0,sysdate,SAMNI,dfs_data
PICK-RELEASE,RELEASE-RULES,P_GFT_XXXX_D,SGDC,0,SL_DO NOTHING,,0,0,0,0,sysdate,SAMNI,dfs_data
PICK-RELEASE,RELEASE-RULES,P_CIGARA_XXXX_D,SGDC,0,SL_DO NOTHING,,0,0,0,0,sysdate,SAMNI,dfs_data
PICK-RELEASE,RELEASE-RULES,P_DPSG_XXXX_D,SGDC,0,SL_DO NOTHING,,0,0,0,0,sysdate,SAMNI,dfs_data
PICK-RELEASE,RELEASE-RULES,P_FC_XXXX_S,SGDC,0,SL_DO NOTHING,,0,0,0,0,sysdate,SAMNI,dfs_data
PICK-RELEASE,RELEASE-RULES,P_LQRR_XXXX_L,SGDC,0,CREATE WORK,PCK,0,0,0,0,sysdate,SAMNI,dfs_data
PICK-RELEASE,RELEASE-RULES,P_LQRD_XXXX_S,SGDC,0,SL_DO NOTHING,,0,0,0,0,sysdate,SAMNI,dfs_data
PICK-RELEASE,RELEASE-RULES,P_LQRDC_XXXX_S,SGDC,0,SL_DO NOTHING,,0,0,0,0,sysdate,SAMNI,dfs_data
PICK-RELEASE,RELEASE-RULES,P_VLQRD_XXXX_S,SGDC,0,SL_DO NOTHING,,0,0,0,0,sysdate,SAMNI,dfs_data
PICK-RELEASE,RELEASE-RULES,P_VLQRDC_XXXX_S,SGDC,0,SL_DO NOTHING,,0,0,0,0,sysdate,SAMNI,dfs_data
PICK-RELEASE,RELEASE-RULES,P_PRSGR_XXXX_L,SGDC,0,CREATE WORK,PCK,0,0,0,0,sysdate,SAMNI,dfs_data
PICK-RELEASE,RELEASE-RULES,P_PRSG_XXXX_S,SGDC,0,SL_DO NOTHING,,0,0,0,0,sysdate,SAMNI,dfs_data
PICK-RELEASE,RELEASE-RULES,P_PRSG_XXXX_D,SGDC,0,SL_DO NOTHING,,0,0,0,0,sysdate,SAMNI,dfs_data
PICK-RELEASE,RELEASE-RULES,P_TOBR_XXXX_L,SGDC,0,CREATE WORK,PCK,0,0,0,0,sysdate,SAMNI,dfs_data
PICK-RELEASE,RELEASE-RULES,P_TOBD_XXXX_S,SGDC,0,SL_DO NOTHING,,0,0,0,0,sysdate,SAMNI,dfs_data
PICK-RELEASE,RELEASE-RULES,P_TOBDC_XXXX_S,SGDC,0,SL_DO NOTHING,,0,0,0,0,sysdate,SAMNI,dfs_data
PICK-RELEASE,RELEASE-RULES,P_WINR_XXXX_L,SGDC,0,CREATE WORK,PCK,0,0,0,0,sysdate,SAMNI,dfs_data
PICK-RELEASE,RELEASE-RULES,P_WIND_XXXX_S,SGDC,0,SL_DO NOTHING,,0,0,0,0,sysdate,SAMNI,dfs_data
