wh_id,reltyp_id,srcare,rel_cmd,extra_args,pricod,grp_cols,ins_dt,last_upd_dt,ins_user_id,last_upd_user_id
SGDC,C,CD,CREATE WORK,,,,sysdate,sysdate,SAMNI,SAMNI
SGDC,A,CD,CREATE WORK,,,,sysdate,sysdate,SAMNI,SAMNI
SGDC,Z,CD,CREATE WORK,,,,sysdate,sysdate,SAMNI,SAMNI
SGDC,C,EL,CREATE WORK,,,,sysdate,sysdate,SAMNI,SAMNI
SGDC,A,EL,CREATE WORK,,,,sysdate,sysdate,SAMNI,SAMNI
SGDC,Z,EL,CREATE WORK,,,,sysdate,sysdate,SAMNI,SAMNI
SGDC,C,LN,CREATE WORK,,,,sysdate,sysdate,SAMNI,SAMNI
SGDC,A,LN,CREATE WORK,,,,sysdate,sysdate,SAMNI,SAMNI
SGDC,Z,LN,CREATE WORK,,,,sysdate,sysdate,SAMNI,SAMNI
SGDC,C,CQ,CREATE WORK,,,,sysdate,sysdate,SAMNI,SAMNI
SGDC,A,CQ,CREATE WORK,,,,sysdate,sysdate,SAMNI,SAMNI
SGDC,Z,CQ,CREATE WORK,,,,sysdate,sysdate,SAMNI,SAMNI
SGDC,C,GU,CREATE WORK,,,,sysdate,sysdate,SAMNI,SAMNI
SGDC,A,GU,CREATE WORK,,,,sysdate,sysdate,SAMNI,SAMNI
SGDC,Z,GU,CREATE WORK,,,,sysdate,sysdate,SAMNI,SAMNI
SGDC,C,GV,CREATE WORK,,,,sysdate,sysdate,SAMNI,SAMNI
SGDC,A,GV,CREATE WORK,,,,sysdate,sysdate,SAMNI,SAMNI
SGDC,Z,GV,CREATE WORK,,,,sysdate,sysdate,SAMNI,SAMNI
SGDC,C,CMD,CREATE WORK,,,,sysdate,sysdate,SAMNI,SAMNI
SGDC,A,CMD,CREATE WORK,,,,sysdate,sysdate,SAMNI,SAMNI
SGDC,Z,CMD,CREATE WORK,,,,sysdate,sysdate,SAMNI,SAMNI
SGDC,C,CWB,CREATE WORK,,,,sysdate,sysdate,SAMNI,SAMNI
SGDC,A,CWB,CREATE WORK,,,,sysdate,sysdate,SAMNI,SAMNI
SGDC,Z,CWB,CREATE WORK,,,,sysdate,sysdate,SAMNI,SAMNI
SGDC,C,KH,CREATE WORK,,,,sysdate,sysdate,SAMNI,SAMNI
SGDC,A,KH,CREATE WORK,,,,sysdate,sysdate,SAMNI,SAMNI
SGDC,Z,KH,CREATE WORK,,,,sysdate,sysdate,SAMNI,SAMNI
