stoloc,wh_id,arecod,locsts,velzon,wrkzon,aisle_id,trvseq,rescod,lochgt,loclen,locwid,locvrc,maxqvl,curqvl,pndqvl,trfpct,erfpct,useflg,stoflg,pckflg,repflg,asgflg,cipflg,cntseq,numcnt,abccod,cntdte,devcod,lokcod,locacc,voc_chkdgt,lstdte,lstcod,lst_usr_id,slotseq,perm_asgflg,cntzon_id,section,x,y,z,attr1,attr2,attr3,attr4,attr5,basepoint_id,top_left_x,top_left_y,top_right_x,top_right_y,bottom_left_x,bottom_left_y,bottom_right_x,bottom_right_y,border_pad,auto_mov_flg,slot_id,def_maxqvl,ignore_psh_flg,u_version,ins_dt,last_upd_dt,ins_user_id,last_upd_user_id,cntbck_ena_flg,prdlin,stgloc
RDT001,SGDC,RDTS,E,B,NONE,,,,,,,,0,0,0,,,1,1,0,0,0,0,,0,,,,,,,,,,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,0,0,1,sysdate,sysdate,SAMNI,SAMNI,0,,
RDT002,SGDC,RDTS,E,B,NONE,,,,,,,,0,0,0,,,1,1,0,0,0,0,,0,,,,,,,,,,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,0,0,1,sysdate,sysdate,SAMNI,SAMNI,0,,
RDT003,SGDC,RDTS,E,B,NONE,,,,,,,,0,0,0,,,1,1,0,0,0,0,,0,,,,,,,,,,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,0,0,1,sysdate,sysdate,SAMNI,SAMNI,0,,
RDT004,SGDC,RDTS,E,B,NONE,,,,,,,,0,0,0,,,1,1,0,0,0,0,,0,,,,,,,,,,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,0,0,1,sysdate,sysdate,SAMNI,SAMNI,0,,
RDT005,SGDC,RDTS,E,B,NONE,,,,,,,,0,0,0,,,1,1,0,0,0,0,,0,,,,,,,,,,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,0,0,1,sysdate,sysdate,SAMNI,SAMNI,0,,
RDT006,SGDC,RDTS,E,B,NONE,,,,,,,,0,0,0,,,1,1,0,0,0,0,,0,,,,,,,,,,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,0,0,1,sysdate,sysdate,SAMNI,SAMNI,0,,
RDT007,SGDC,RDTS,E,B,NONE,,,,,,,,0,0,0,,,1,1,0,0,0,0,,0,,,,,,,,,,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,0,0,1,sysdate,sysdate,SAMNI,SAMNI,0,,
RDT008,SGDC,RDTS,E,B,NONE,,,,,,,,0,0,0,,,1,1,0,0,0,0,,0,,,,,,,,,,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,0,0,1,sysdate,sysdate,SAMNI,SAMNI,0,,
RDT009,SGDC,RDTS,E,B,NONE,,,,,,,,0,0,0,,,1,1,0,0,0,0,,0,,,,,,,,,,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,0,0,1,sysdate,sysdate,SAMNI,SAMNI,0,,
RDT010,SGDC,RDTS,E,B,NONE,,,,,,,,0,0,0,,,1,1,0,0,0,0,,0,,,,,,,,,,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,0,0,1,sysdate,sysdate,SAMNI,SAMNI,0,,
RDT011,SGDC,RDTS,E,B,NONE,,,,,,,,0,0,0,,,1,1,0,0,0,0,,0,,,,,,,,,,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,0,0,1,sysdate,sysdate,SAMNI,SAMNI,0,,
RDT012,SGDC,RDTS,E,B,NONE,,,,,,,,0,0,0,,,1,1,0,0,0,0,,0,,,,,,,,,,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,0,0,1,sysdate,sysdate,SAMNI,SAMNI,0,,
RDT013,SGDC,RDTS,E,B,NONE,,,,,,,,0,0,0,,,1,1,0,0,0,0,,0,,,,,,,,,,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,0,0,1,sysdate,sysdate,SAMNI,SAMNI,0,,
RDT014,SGDC,RDTS,E,B,NONE,,,,,,,,0,0,0,,,1,1,0,0,0,0,,0,,,,,,,,,,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,0,0,1,sysdate,sysdate,SAMNI,SAMNI,0,,
RDT015,SGDC,RDTS,E,B,NONE,,,,,,,,0,0,0,,,1,1,0,0,0,0,,0,,,,,,,,,,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,0,0,1,sysdate,sysdate,SAMNI,SAMNI,0,,
RDT016,SGDC,RDTS,E,B,NONE,,,,,,,,0,0,0,,,1,1,0,0,0,0,,0,,,,,,,,,,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,0,0,1,sysdate,sysdate,SAMNI,SAMNI,0,,
RDT017,SGDC,RDTS,E,B,NONE,,,,,,,,0,0,0,,,1,1,0,0,0,0,,0,,,,,,,,,,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,0,0,1,sysdate,sysdate,SAMNI,SAMNI,0,,
RDT018,SGDC,RDTS,E,B,NONE,,,,,,,,0,0,0,,,1,1,0,0,0,0,,0,,,,,,,,,,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,0,0,1,sysdate,sysdate,SAMNI,SAMNI,0,,
RDT019,SGDC,RDTS,E,B,NONE,,,,,,,,0,0,0,,,1,1,0,0,0,0,,0,,,,,,,,,,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,0,0,1,sysdate,sysdate,SAMNI,SAMNI,0,,
RDT020,SGDC,RDTS,E,B,NONE,,,,,,,,0,0,0,,,1,1,0,0,0,0,,0,,,,,,,,,,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,0,0,1,sysdate,sysdate,SAMNI,SAMNI,0,,
RDT021,SGDC,RDTS,E,B,NONE,,,,,,,,0,0,0,,,1,1,0,0,0,0,,0,,,,,,,,,,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,0,0,1,sysdate,sysdate,SAMNI,SAMNI,0,,
RDT022,SGDC,RDTS,E,B,NONE,,,,,,,,0,0,0,,,1,1,0,0,0,0,,0,,,,,,,,,,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,0,0,1,sysdate,sysdate,SAMNI,SAMNI,0,,
RDT023,SGDC,RDTS,E,B,NONE,,,,,,,,0,0,0,,,1,1,0,0,0,0,,0,,,,,,,,,,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,0,0,1,sysdate,sysdate,SAMNI,SAMNI,0,,
RDT024,SGDC,RDTS,E,B,NONE,,,,,,,,0,0,0,,,1,1,0,0,0,0,,0,,,,,,,,,,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,0,0,1,sysdate,sysdate,SAMNI,SAMNI,0,,
RDT025,SGDC,RDTS,E,B,NONE,,,,,,,,0,0,0,,,1,1,0,0,0,0,,0,,,,,,,,,,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,0,0,1,sysdate,sysdate,SAMNI,SAMNI,0,,
RDT026,SGDC,RDTS,E,B,NONE,,,,,,,,0,0,0,,,1,1,0,0,0,0,,0,,,,,,,,,,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,0,0,1,sysdate,sysdate,SAMNI,SAMNI,0,,
RDT027,SGDC,RDTS,E,B,NONE,,,,,,,,0,0,0,,,1,1,0,0,0,0,,0,,,,,,,,,,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,0,0,1,sysdate,sysdate,SAMNI,SAMNI,0,,
RDT028,SGDC,RDTS,E,B,NONE,,,,,,,,0,0,0,,,1,1,0,0,0,0,,0,,,,,,,,,,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,0,0,1,sysdate,sysdate,SAMNI,SAMNI,0,,
RDT029,SGDC,RDTS,E,B,NONE,,,,,,,,0,0,0,,,1,1,0,0,0,0,,0,,,,,,,,,,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,0,0,1,sysdate,sysdate,SAMNI,SAMNI,0,,
RDT030,SGDC,RDTS,E,B,NONE,,,,,,,,0,0,0,,,1,1,0,0,0,0,,0,,,,,,,,,,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,0,0,1,sysdate,sysdate,SAMNI,SAMNI,0,,
RDT031,SGDC,RDTS,E,B,NONE,,,,,,,,0,0,0,,,1,1,0,0,0,0,,0,,,,,,,,,,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,0,0,1,sysdate,sysdate,SAMNI,SAMNI,0,,
RDT032,SGDC,RDTS,E,B,NONE,,,,,,,,0,0,0,,,1,1,0,0,0,0,,0,,,,,,,,,,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,0,0,1,sysdate,sysdate,SAMNI,SAMNI,0,,
RDT033,SGDC,RDTS,E,B,NONE,,,,,,,,0,0,0,,,1,1,0,0,0,0,,0,,,,,,,,,,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,0,0,1,sysdate,sysdate,SAMNI,SAMNI,0,,
RDT034,SGDC,RDTS,E,B,NONE,,,,,,,,0,0,0,,,1,1,0,0,0,0,,0,,,,,,,,,,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,0,0,1,sysdate,sysdate,SAMNI,SAMNI,0,,
RDT035,SGDC,RDTS,E,B,NONE,,,,,,,,0,0,0,,,1,1,0,0,0,0,,0,,,,,,,,,,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,0,0,1,sysdate,sysdate,SAMNI,SAMNI,0,,
RDT036,SGDC,RDTS,E,B,NONE,,,,,,,,0,0,0,,,1,1,0,0,0,0,,0,,,,,,,,,,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,0,0,1,sysdate,sysdate,SAMNI,SAMNI,0,,
RDT037,SGDC,RDTS,E,B,NONE,,,,,,,,0,0,0,,,1,1,0,0,0,0,,0,,,,,,,,,,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,0,0,1,sysdate,sysdate,SAMNI,SAMNI,0,,
RDT038,SGDC,RDTS,E,B,NONE,,,,,,,,0,0,0,,,1,1,0,0,0,0,,0,,,,,,,,,,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,0,0,1,sysdate,sysdate,SAMNI,SAMNI,0,,
