rf_ven_nam,wh_id,term_id,dsply_wid,dsply_hgt,term_typ,devcod,locale_id,ins_dt,last_upd_dt,ins_user_id,last_upd_user_id,recplycod,recplyfil
DEFAULT,SGDC,RDT001,20,16,handheld,RDT001,US_ENGLISH,sysdate,sysdate,SAMNI,SAMNI,,
DEFAULT,SGDC,RDT002,20,16,handheld,RDT002,US_ENGLISH,sysdate,sysdate,SAMNI,SAMNI,,
DEFAULT,SGDC,RDT003,20,16,handheld,RDT003,US_ENGLISH,sysdate,sysdate,SAMNI,SAMNI,,
DEFAULT,SGDC,RDT004,20,16,handheld,RDT004,US_ENGLISH,sysdate,sysdate,SAMNI,SAMNI,,
DEFAULT,SGDC,RDT005,20,16,handheld,RDT005,US_ENGLISH,sysdate,sysdate,SAMNI,SAMNI,,
DEFAULT,SGDC,RDT006,20,16,handheld,RDT006,US_ENGLISH,sysdate,sysdate,SAMNI,SAMNI,,
DEFAULT,SGDC,RDT007,20,16,handheld,RDT007,US_ENGLISH,sysdate,sysdate,SAMNI,SAMNI,,
DEFAULT,SGDC,RDT008,20,16,handheld,RDT008,US_ENGLISH,sysdate,sysdate,SAMNI,SAMNI,,
DEFAULT,SGDC,RDT009,20,16,handheld,RDT009,US_ENGLISH,sysdate,sysdate,SAMNI,SAMNI,,
DEFAULT,SGDC,RDT010,20,16,handheld,RDT010,US_ENGLISH,sysdate,sysdate,SAMNI,SAMNI,,
DEFAULT,SGDC,RDT011,20,16,handheld,RDT011,US_ENGLISH,sysdate,sysdate,SAMNI,SAMNI,,
DEFAULT,SGDC,RDT012,20,16,handheld,RDT012,US_ENGLISH,sysdate,sysdate,SAMNI,SAMNI,,
DEFAULT,SGDC,RDT013,20,16,handheld,RDT013,US_ENGLISH,sysdate,sysdate,SAMNI,SAMNI,,
DEFAULT,SGDC,RDT014,20,16,handheld,RDT014,US_ENGLISH,sysdate,sysdate,SAMNI,SAMNI,,
DEFAULT,SGDC,RDT015,20,16,handheld,RDT015,US_ENGLISH,sysdate,sysdate,SAMNI,SAMNI,,
DEFAULT,SGDC,RDT016,20,16,handheld,RDT016,US_ENGLISH,sysdate,sysdate,SAMNI,SAMNI,,
DEFAULT,SGDC,RDT017,20,16,handheld,RDT017,US_ENGLISH,sysdate,sysdate,SAMNI,SAMNI,,
DEFAULT,SGDC,RDT018,20,16,handheld,RDT018,US_ENGLISH,sysdate,sysdate,SAMNI,SAMNI,,
DEFAULT,SGDC,RDT019,20,16,handheld,RDT019,US_ENGLISH,sysdate,sysdate,SAMNI,SAMNI,,
DEFAULT,SGDC,RDT020,20,16,handheld,RDT020,US_ENGLISH,sysdate,sysdate,SAMNI,SAMNI,,
DEFAULT,SGDC,RDT021,20,16,handheld,RDT021,US_ENGLISH,sysdate,sysdate,SAMNI,SAMNI,,
DEFAULT,SGDC,RDT022,20,16,handheld,RDT022,US_ENGLISH,sysdate,sysdate,SAMNI,SAMNI,,
DEFAULT,SGDC,RDT023,20,16,handheld,RDT023,US_ENGLISH,sysdate,sysdate,SAMNI,SAMNI,,
DEFAULT,SGDC,RDT024,20,16,handheld,RDT024,US_ENGLISH,sysdate,sysdate,SAMNI,SAMNI,,
DEFAULT,SGDC,RDT025,20,16,handheld,RDT025,US_ENGLISH,sysdate,sysdate,SAMNI,SAMNI,,
DEFAULT,SGDC,RDT026,20,16,handheld,RDT026,US_ENGLISH,sysdate,sysdate,SAMNI,SAMNI,,
DEFAULT,SGDC,RDT027,20,16,handheld,RDT027,US_ENGLISH,sysdate,sysdate,SAMNI,SAMNI,,
DEFAULT,SGDC,RDT028,20,16,handheld,RDT028,US_ENGLISH,sysdate,sysdate,SAMNI,SAMNI,,
DEFAULT,SGDC,RDT029,20,16,handheld,RDT029,US_ENGLISH,sysdate,sysdate,SAMNI,SAMNI,,
DEFAULT,SGDC,RDT030,20,16,handheld,RDT030,US_ENGLISH,sysdate,sysdate,SAMNI,SAMNI,,
DEFAULT,SGDC,RDT031,20,16,handheld,RDT031,US_ENGLISH,sysdate,sysdate,SAMNI,SAMNI,,
DEFAULT,SGDC,RDT032,20,16,handheld,RDT032,US_ENGLISH,sysdate,sysdate,SAMNI,SAMNI,,
DEFAULT,SGDC,RDT033,20,16,handheld,RDT033,US_ENGLISH,sysdate,sysdate,SAMNI,SAMNI,,
DEFAULT,SGDC,RDT034,20,16,handheld,RDT034,US_ENGLISH,sysdate,sysdate,SAMNI,SAMNI,,
DEFAULT,SGDC,RDT035,20,16,handheld,RDT035,US_ENGLISH,sysdate,sysdate,SAMNI,SAMNI,,
DEFAULT,SGDC,RDT036,20,16,handheld,RDT036,US_ENGLISH,sysdate,sysdate,SAMNI,SAMNI,,
DEFAULT,SGDC,RDT037,20,16,handheld,RDT037,US_ENGLISH,sysdate,sysdate,SAMNI,SAMNI,,
DEFAULT,SGDC,RDT038,20,16,handheld,RDT038,US_ENGLISH,sysdate,sysdate,SAMNI,SAMNI,,
DEFAULT,SGDC,RDT039,20,16,handheld,RDT039,US_ENGLISH,sysdate,sysdate,SAMNI,SAMNI,,
DEFAULT,SGDC,RDT040,20,16,handheld,RDT040,US_ENGLISH,sysdate,sysdate,SAMNI,SAMNI,,
DEFAULT,SGDC,RDT041,20,16,handheld,RDT041,US_ENGLISH,sysdate,sysdate,SAMNI,SAMNI,,
DEFAULT,SGDC,RDT042,20,16,handheld,RDT042,US_ENGLISH,sysdate,sysdate,SAMNI,SAMNI,,
DEFAULT,SGDC,RDT043,20,16,handheld,RDT043,US_ENGLISH,sysdate,sysdate,SAMNI,SAMNI,,
