wh_id,bldg_id,search_path_typ,arecod,lodlvl,uomcod,ins_dt,last_upd_dt,ins_user_id,last_upd_user_id,prtfam,inv_attr_str1,dstare
SGDC,Greenwich,RPL,LQRR,L,,sysdate,sysdate,SAMNI,SAMNI,Liquor,,LQRD
SGDC,Greenwich,RPL,LQRR,S,,sysdate,sysdate,SAMNI,SAMNI,Liquor,,LQRDC
SGDC,Greenwich,RPL,LQRR,L,,sysdate,sysdate,SAMNI,SAMNI,Liquor,,VLQRD
SGDC,Greenwich,RPL,LQRR,S,,sysdate,sysdate,SAMNI,SAMNI,Liquor,,VLQRDC
SGDC,Greenwich,RPL,LQRR,L,,sysdate,sysdate,SAMNI,SAMNI,Liquor,,WIND
SGDC,Greenwich,RPL,LQRR,S,,sysdate,sysdate,SAMNI,SAMNI,Liquor,,WINDC
SGDC,Greenwich,RPL,LQRR,L,,sysdate,sysdate,SAMNI,SAMNI,Liquor,,VWIND
SGDC,Greenwich,RPL,LQRR,S,,sysdate,sysdate,SAMNI,SAMNI,Liquor,,VWINDC
SGDC,Greenwich,RPL,LQRR,L,,sysdate,sysdate,SAMNI,SAMNI,Beer,,LQRD
SGDC,Greenwich,RPL,LQRR,S,,sysdate,sysdate,SAMNI,SAMNI,Beer,,LQRDC
SGDC,Greenwich,RPL,LQRR,L,,sysdate,sysdate,SAMNI,SAMNI,Beer,,VLQRD
SGDC,Greenwich,RPL,LQRR,S,,sysdate,sysdate,SAMNI,SAMNI,Beer,,VLQRDC
SGDC,Greenwich,RPL,LQRR,L,,sysdate,sysdate,SAMNI,SAMNI,Beer,,WIND
SGDC,Greenwich,RPL,LQRR,S,,sysdate,sysdate,SAMNI,SAMNI,Beer,,WINDC
SGDC,Greenwich,RPL,LQRR,L,,sysdate,sysdate,SAMNI,SAMNI,Beer,,VWIND
SGDC,Greenwich,RPL,LQRR,S,,sysdate,sysdate,SAMNI,SAMNI,Beer,,VWINDC
SGDC,Greenwich,RPL,LQRR,L,,sysdate,sysdate,SAMNI,SAMNI,Packaging,,LQRD
SGDC,Greenwich,RPL,LQRR,S,,sysdate,sysdate,SAMNI,SAMNI,Packaging,,LQRDC
SGDC,Greenwich,RPL,LQRR,L,,sysdate,sysdate,SAMNI,SAMNI,Packaging,,VLQRD
SGDC,Greenwich,RPL,LQRR,S,,sysdate,sysdate,SAMNI,SAMNI,Packaging,,VLQRDC
SGDC,Greenwich,RPL,LQRR,L,,sysdate,sysdate,SAMNI,SAMNI,Packaging,,WIND
SGDC,Greenwich,RPL,LQRR,S,,sysdate,sysdate,SAMNI,SAMNI,Packaging,,WINDC
SGDC,Greenwich,RPL,LQRR,L,,sysdate,sysdate,SAMNI,SAMNI,Packaging,,VWIND
SGDC,Greenwich,RPL,LQRR,S,,sysdate,sysdate,SAMNI,SAMNI,Packaging,,VWINDC
SGDC,Greenwich,RPL,LQRR,S,,sysdate,sysdate,SAMNI,SAMNI,,,HOTPICK
SGDC,Greenwich,RPL,PRSGR,S,,sysdate,sysdate,SAMNI,SAMNI,Prestige,,PRSG
SGDC,Greenwich,RPL,PRSGR,S,,sysdate,sysdate,SAMNI,SAMNI,Psg-Liquor,,PRSG
SGDC,Greenwich,RPL,PRSGR,S,,sysdate,sysdate,SAMNI,SAMNI,,,HOTPICK
SGDC,Greenwich,RPL,TOBR,L,,sysdate,sysdate,SAMNI,SAMNI,Tobacco,,TOBD
SGDC,Greenwich,RPL,TOBR,S,,sysdate,sysdate,SAMNI,SAMNI,Tobacco,,TOBDC
SGDC,Greenwich,RPL,TOBR,S,,sysdate,sysdate,SAMNI,SAMNI,,,HOTPICK
SGDC,Greenwich,RPL,WINR,L,,sysdate,sysdate,SAMNI,SAMNI,Wine-Champ,1395,WIND
SGDC,Greenwich,RPL,WINR,S,,sysdate,sysdate,SAMNI,SAMNI,Wine-Champ,1396,WINDC
SGDC,Greenwich,RPL,WINR,L,,sysdate,sysdate,SAMNI,SAMNI,Wine-Champ,1395,VWIND
SGDC,Greenwich,RPL,WINR,S,,sysdate,sysdate,SAMNI,SAMNI,Wine-Champ,1396,VWINDC
SGDC,Greenwich,RPL,WINR,S,,sysdate,sysdate,SAMNI,SAMNI,,,HOTPICK
