rpl_path_typ,wh_id,dstare,cfgtyp,cfgval,rplare,rpl_lodlvl,srtseq,hopare,hop_lodlvl,ins_dt,last_upd_dt,ins_user_id,last_upd_user_id
S,SGDC,SSTGL,PRTFAM,Liquor,LQRD,L,1,,,sysdate,sysdate,SAMNI,SAMNI
S,SGDC,SSTGL,PRTFAM,Beer,LQRD,L,2,,,sysdate,sysdate,SAMNI,SAMNI
S,SGDC,SSTGL,PRTFAM,Packaging,LQRD,L,3,,,sysdate,sysdate,SAMNI,SAMNI
S,SGDC,SSTGL,PRTFAM,Liquor,LQRDC,S,4,,,sysdate,sysdate,SAMNI,SAMNI
S,SGDC,SSTGL,PRTFAM,Beer,LQRDC,S,5,,,sysdate,sysdate,SAMNI,SAMNI
S,SGDC,SSTGL,PRTFAM,Packaging,LQRDC,S,6,,,sysdate,sysdate,SAMNI,SAMNI
S,SGDC,SSTGL,PRTFAM,Liquor,VLQRD,L,7,,,sysdate,sysdate,SAMNI,SAMNI
S,SGDC,SSTGL,PRTFAM,Beer,VLQRD,L,8,,,sysdate,sysdate,SAMNI,SAMNI
S,SGDC,SSTGL,PRTFAM,Packaging,VLQRD,L,9,,,sysdate,sysdate,SAMNI,SAMNI
S,SGDC,SSTGL,PRTFAM,Liquor,VLQRDC,S,10,,,sysdate,sysdate,SAMNI,SAMNI
S,SGDC,SSTGL,PRTFAM,Beer,VLQRDC,S,11,,,sysdate,sysdate,SAMNI,SAMNI
S,SGDC,SSTGL,PRTFAM,Packaging,VLQRDC,S,12,,,sysdate,sysdate,SAMNI,SAMNI
S,SGDC,SSTGL,PRTFAM,Prestige,PRSG,S,13,,,sysdate,sysdate,SAMNI,SAMNI
S,SGDC,SSTGL,PRTFAM,Psg-Liquor,PRSG,S,14,,,sysdate,sysdate,SAMNI,SAMNI
S,SGDC,SSTGL,PRTFAM,Tobacco,TOBD,L,15,,,sysdate,sysdate,SAMNI,SAMNI
S,SGDC,SSTGL,PRTFAM,Tobacco,TOBDC,S,16,,,sysdate,sysdate,SAMNI,SAMNI
S,SGDC,SSTGL,PRTFAM,Wine-Champ,WIND,L,17,,,sysdate,sysdate,SAMNI,SAMNI
S,SGDC,SSTGL,PRTFAM,Wine-Champ,WINDC,S,18,,,sysdate,sysdate,SAMNI,SAMNI
S,SGDC,SSTGL,PRTFAM,Wine-Champ,VWIND,L,19,,,sysdate,sysdate,SAMNI,SAMNI
S,SGDC,SSTGL,PRTFAM,Wine-Champ,VWINDC,S,20,,,sysdate,sysdate,SAMNI,SAMNI
S,SGDC,SSTGL,PRTFAM,Liquor,HOTPICK,S,21,,,sysdate,sysdate,SAMNI,SAMNI
S,SGDC,SSTGL,PRTFAM,Beer,HOTPICK,S,22,,,sysdate,sysdate,SAMNI,SAMNI
S,SGDC,SSTGL,PRTFAM,Packaging,HOTPICK,S,23,,,sysdate,sysdate,SAMNI,SAMNI
