prtnum,stoloc,ship_to_loc,minunt,maxunt
1003508,I01049,,100,500
1015684,M02002,1396,12,36
1041078,N03116,,24,120
1041342,N02105,,24,120
1041607,H01029,1506,336,672
1041607,N03087,,24,120
1058841,F01008,1396,168,336
1065259,J01028,1396,24,180
1066208,P02064,1506,24,72
1079367,G01044,,200,1000
1183136,F01007,1396,264,528
1183136,P01066,1506,24,108
12025,C01034,1506,216,432
12041,M01028,1396,24,108
12106,E01033,1506,24,180
12106,M01029,1396,24,108
12235089,J01003,1396,12,90
1237809,H01051,,100,500
12467,G01019,1396,288,864
12615965,F01054,,100,500
12742,C01028,1506,288,576
12742,D01006,1396,288,576
12767749,M02066,,24,120
12840,B01021,1506,240,480
12840,D01008,1396,240,480
12912,F01031,1506,24,180
12912,K01030,1396,24,180
13079587,J01021,1396,12,90
13079595,G01001,1396,300,600
13104549,J01073,,100,500
13104638,J01064,,100,500
13110,L01007,1396,12,90
13140030,A01030,1506,252,510
13140030,C01007,1396,252,510
1353531,L01071,,60,240
1353531,P01091,1506,12,72
14435093,O01076,,12,60
14435093,P01093,1506,12,72
14542000,G01026,1506,288,588
14542000,K01065,,120,288
14542019,H01027,1506,288,588
14542019,K01070,,120,288
15417315,L01024,1396,24,180
1567056,H01075,,24,240
16152,C01013,1396,264,528
16209,A01020,1506,132,270
16209,C01019,1396,270,810
16283398,E01070,,500,1000
16322,E01057,1506,24,180
16322,K01006,1396,24,180
16336815,G01078,,48,240
16336815,J01077,,20,200
16365548,F01042,1506,24,180
16365548,K01028,1396,24,180
16472158,K01010,1396,12,90
16472158,O01110,1506,12,54
16500,G01015,1396,264,528
16500,P01059,1506,24,108
16659,I01013,1396,192,396
16674052,O02101,,24,120
16885010,N03100,,12,60
16885380,I01038,,168,672
16885380,P01092,1506,12,72
1693266,C01039,1506,264,528
1693266,E01012,1396,264,528
17485,B01036,1506,96,198
1753870,O02066,,24,120
17555553,M02017,1396,24,72
1786722,I01043,,24,240
18193086,O03111,1506,12,36
1842236,I01002,1396,120,240
1860394,N02064,,12,60
18659271,O01102,,12,60
1870815,O01096,,24,120
1870898,M02067,,24,120
18732939,O01075,,12,60
1884329,G01025,1506,144,294
1884329,I01028,,84,294
1884329,K01047,,120,336
19558592,O02089,,12,60
1988898,O01116,1506,12,54
19943526,K01001,1396,24,180
1995943,B01038,1506,144,288
2000865,I01067,,50,250
20257016,N01086,,12,60
20257032,G01027,1506,240,480
20257032,K01071,,60,240
20261463,K01060,,60,336
20399546,I01070,,100,500
20748478,F01078,,100,500
20800631,A01005,1396,200,400
20807601,A01011,1396,200,400
20860774,B01028,1506,228,456
20860774,K01026,1396,12,90
2091852,D01031,1506,240,480
2091852,H01019,1396,240,480
21250376,C01022,1506,198,396
21250376,D01002,1396,198,396
21250414,M02046,1396,12,36
21765708,M02059,,12,60
21773514,H01040,1506,336,672
21773514,O01099,,24,120
21773662,M02070,,12,60
2179121,C01023,1506,240,480
2179121,K01023,1396,24,180
21968641,O02084,,24,120
21968650,N01106,,24,120
22078542,K01016,1396,12,90
2212803,K01040,1396,24,180
2212803,O01111,1506,24,108
22555731,K01036,1396,12,90
22555731,O01105,1506,12,54
