prtnum,stoloc,ship_to_loc,maxunt,minunt,invsts,mod_usr_id
1003508,I01049,,100,10,AFS,SAMNI
1015684,M02002,1396,100,10,AFS,SAMNI
1041078,N03116,,100,10,AFS,SAMNI
1041342,N02105,,100,10,AFS,SAMNI
1041607,N03087,,100,10,AFS,SAMNI
1041607,H01029,1506,100,10,AFS,SAMNI
1058841,F01008,1396,100,10,AFS,SAMNI
1065259,J01028,1396,100,10,AFS,SAMNI
1066208,P02064,1506,100,10,AFS,SAMNI
1079367,G01044,,100,10,AFS,SAMNI
1183136,P01066,1506,100,10,AFS,SAMNI
1183136,F01007,1396,100,10,AFS,SAMNI
12025,C01034,1506,100,10,AFS,SAMNI
12041,M01028,1396,100,10,AFS,SAMNI
12106,M01029,1396,100,10,AFS,SAMNI
12106,E01033,1506,100,10,AFS,SAMNI
12235089,J01003,1396,100,10,AFS,SAMNI
1237809,H01051,,100,10,AFS,SAMNI
12467,G01019,1396,100,10,AFS,SAMNI
12615965,F01054,,100,10,AFS,SAMNI
12742,D01006,1396,100,10,AFS,SAMNI
12742,C01028,1506,100,10,AFS,SAMNI
12767749,M02066,,100,10,AFS,SAMNI
12840,B01021,1506,100,10,AFS,SAMNI
12840,D01008,1396,100,10,AFS,SAMNI
12912,K01030,1396,100,10,AFS,SAMNI
12912,F01031,1506,100,10,AFS,SAMNI
13079587,J01021,1396,100,10,AFS,SAMNI
13079595,G01001,1396,100,10,AFS,SAMNI
13104549,J01073,,100,10,AFS,SAMNI
13104638,J01064,,100,10,AFS,SAMNI
13110,L01007,1396,100,10,AFS,SAMNI
13140030,C01007,1396,100,10,AFS,SAMNI
13140030,A01030,1506,100,10,AFS,SAMNI
1353531,P01091,1506,100,10,AFS,SAMNI
1353531,L01071,,100,10,AFS,SAMNI
14435093,O01076,,100,10,AFS,SAMNI
14435093,P01093,1506,100,10,AFS,SAMNI
14542000,G01026,1506,100,10,AFS,SAMNI
14542000,K01065,,100,10,AFS,SAMNI
14542019,K01070,,100,10,AFS,SAMNI
14542019,H01027,1506,100,10,AFS,SAMNI
15417315,L01024,1396,100,10,AFS,SAMNI
1567056,H01075,,100,10,AFS,SAMNI
16152,C01013,1396,100,10,AFS,SAMNI
16209,C01019,1396,100,10,AFS,SAMNI
16209,A01020,1506,100,10,AFS,SAMNI
16283398,E01070,,100,10,AFS,SAMNI
16322,E01057,1506,100,10,AFS,SAMNI
16322,K01006,1396,100,10,AFS,SAMNI
16336815,G01078,,100,10,AFS,SAMNI
16336815,J01077,,100,10,AFS,SAMNI
16365548,K01028,1396,100,10,AFS,SAMNI
16365548,F01042,1506,100,10,AFS,SAMNI
16472158,O01110,1506,100,10,AFS,SAMNI
16472158,K01010,1396,100,10,AFS,SAMNI
16500,G01015,1396,100,10,AFS,SAMNI
16500,P01059,1506,100,10,AFS,SAMNI
16659,I01013,1396,100,10,AFS,SAMNI
16674052,O02101,,100,10,AFS,SAMNI
16885010,N03100,,100,10,AFS,SAMNI
16885380,I01038,,100,10,AFS,SAMNI
16885380,P01092,1506,100,10,AFS,SAMNI
1693266,E01012,1396,100,10,AFS,SAMNI
1693266,C01039,1506,100,10,AFS,SAMNI
17485,B01036,1506,100,10,AFS,SAMNI
1753870,O02066,,100,10,AFS,SAMNI
17555553,M02017,1396,100,10,AFS,SAMNI
1786722,I01043,,100,10,AFS,SAMNI
18193086,O03111,1506,100,10,AFS,SAMNI
1842236,I01002,1396,100,10,AFS,SAMNI
1860394,N02064,,100,10,AFS,SAMNI
18659271,O01102,,100,10,AFS,SAMNI
1870815,O01096,,100,10,AFS,SAMNI
1870898,M02067,,100,10,AFS,SAMNI
18732939,O01075,,100,10,AFS,SAMNI
1884329,I01028,,100,10,AFS,SAMNI
1884329,K01047,,100,10,AFS,SAMNI
1884329,G01025,1506,100,10,AFS,SAMNI
19558592,O02089,,100,10,AFS,SAMNI
1988898,O01116,1506,100,10,AFS,SAMNI
19943526,K01001,1396,100,10,AFS,SAMNI
1995943,B01038,1506,100,10,AFS,SAMNI
2000865,I01067,,100,10,AFS,SAMNI
20257016,N01086,,100,10,AFS,SAMNI
20257032,K01071,,100,10,AFS,SAMNI
20257032,G01027,1506,100,10,AFS,SAMNI
20261463,K01060,,100,10,AFS,SAMNI
20399546,I01070,,100,10,AFS,SAMNI
20748478,F01078,,100,10,AFS,SAMNI
20800631,A01005,1396,100,10,AFS,SAMNI
20807601,A01011,1396,100,10,AFS,SAMNI
20860774,B01028,1506,100,10,AFS,SAMNI
20860774,K01026,1396,100,10,AFS,SAMNI
2091852,H01019,1396,100,10,AFS,SAMNI
2091852,D01031,1506,100,10,AFS,SAMNI
21250376,C01022,1506,100,10,AFS,SAMNI
21250376,D01002,1396,100,10,AFS,SAMNI
21250414,M02046,1396,100,10,AFS,SAMNI
21765708,M02059,,100,10,AFS,SAMNI
21773514,O01099,,100,10,AFS,SAMNI
21773514,H01040,1506,100,10,AFS,SAMNI
21773662,M02070,,100,10,AFS,SAMNI
2179121,K01023,1396,100,10,AFS,SAMNI
2179121,C01023,1506,100,10,AFS,SAMNI
21968641,O02084,,100,10,AFS,SAMNI
21968650,N01106,,100,10,AFS,SAMNI
22078542,K01016,1396,100,10,AFS,SAMNI
2212803,K01040,1396,100,10,AFS,SAMNI
2212803,O01111,1506,100,10,AFS,SAMNI
22555731,O01105,1506,100,10,AFS,SAMNI
22555731,K01036,1396,100,10,AFS,SAMNI
22555758,D01009,1396,100,10,AFS,SAMNI
22633686,K01021,1396,100,10,AFS,SAMNI
22652931,G01016,1396,100,10,AFS,SAMNI
2266440,F01012,1396,100,10,AFS,SAMNI
22754149,I01063,,100,10,AFS,SAMNI
22791087,G01069,,100,10,AFS,SAMNI
2291258,I01003,1396,100,10,AFS,SAMNI
2291258,F01036,1506,100,10,AFS,SAMNI
22922610,F01066,,100,10,AFS,SAMNI
22926772,J01053,,100,10,AFS,SAMNI
23085534,O03110,1506,100,10,AFS,SAMNI
23160587,J01040,1396,100,10,AFS,SAMNI
23160587,E01050,1506,100,10,AFS,SAMNI
23229374,P02056,1506,100,10,AFS,SAMNI
23229803,D01036,1506,100,10,AFS,SAMNI
23229803,G01013,1396,100,10,AFS,SAMNI
2330466,F01026,1506,100,10,AFS,SAMNI
23408597,L01068,,100,10,AFS,SAMNI
23623137,O01040,1396,100,10,AFS,SAMNI
23792478,A01012,1396,100,10,AFS,SAMNI
23929910,O03071,,100,10,AFS,SAMNI
24017672,I01031,,100,10,AFS,SAMNI
24017672,G01028,1506,100,10,AFS,SAMNI
24017974,I01036,,100,10,AFS,SAMNI
24017974,P01096,1506,100,10,AFS,SAMNI
24038068,G01014,1396,100,10,AFS,SAMNI
2411296,C01003,1396,100,10,AFS,SAMNI
2411296,C01032,1506,100,10,AFS,SAMNI
24142396,N01116,,100,10,AFS,SAMNI
24222918,K01042,,100,10,AFS,SAMNI
24222934,J01059,,100,10,AFS,SAMNI
24373436,N02017,1396,100,10,AFS,SAMNI
24390063,M01027,1396,100,10,AFS,SAMNI
24562093,A01008,1396,100,10,AFS,SAMNI
24592251,M01032,1396,100,10,AFS,SAMNI
24608093,C01033,1506,100,10,AFS,SAMNI
