prtnum,stoloc,ship_to_loc,minunt,maxunt
1015684,M02002,1396,12,36
1041078,N03116,,24,120
1041342,N02105,,24,120
1041607,N03087,,24,120
1066208,P02064,1506,24,72
1183136,P01066,1506,24,108
12041,M01028,1396,24,108
12106,M01029,1396,24,108
12767749,M02066,,24,120
1353531,P01091,1506,12,72
14435093,O01076,,12,60
14435093,P01093,1506,12,72
16472158,O01110,1506,12,54
16500,P01059,1506,24,108
16674052,O02101,,24,120
16885010,N03100,,12,60
16885380,P01092,1506,12,72
1753870,O02066,,24,120
17555553,M02017,1396,24,72
18193086,O03111,1506,12,36
1860394,N02064,,12,60
18659271,O01102,,12,60
1870815,O01096,,24,120
1870898,M02067,,24,120
18732939,O01075,,12,60
19558592,O02089,,12,60
1988898,O01116,1506,12,54
20257016,N01086,,12,60
21250414,M02046,1396,12,36
21765708,M02059,,12,60
21773514,O01099,,24,120
21773662,M02070,,12,60
21968641,O02084,,24,120
21968650,N01106,,24,120
2212803,O01111,1506,24,108
22555731,O01105,1506,12,54
23085534,O03110,1506,24,72
23229374,P02056,1506,12,36
23623137,O01040,1396,8,24
23929910,O03071,,12,60
24017974,P01096,1506,12,72
24142396,N01116,,12,60
24373436,N02017,1396,24,72
24390063,M01027,1396,24,108
24592251,M01032,1396,24,108
24636780,N02036,1396,12,36
24636780,P02067,1506,12,36
24844978,M03065,,24,120
24844986,O01070,,24,120
24844994,M03064,,24,120
24845001,O03078,,12,60
24936910,M02055,,12,60
24937054,O03082,,12,60
25242491,M01002,1396,24,108
25247868,N02041,1396,12,36
26200592,P01070,1506,12,54
26202671,M01093,,24,120
26237099,M01045,1396,24,108
26698043,N02094,,12,60
27001890,N03112,,12,60
27001932,O01064,,12,60
27005073,O02115,1506,6,18
27005263,M01086,,12,60
27095082,M03061,,24,120
27095116,O03080,,24,120
27253145,N02076,,12,60
27325216,M02028,1396,24,72
27329903,P03088,1506,24,144
27457399,M02021,1396,12,36
27659424,N03101,,12,60
27659820,N02070,,12,60
27660133,M02083,,12,60
27662121,M02081,,12,60
27996503,P01062,1506,12,54
27998517,N02107,,12,60
28010593,M02047,1396,6,18
28010593,O01119,1506,6,27
28037810,N02001,1396,6,18
28179273,N02108,,24,120
28179273,P03091,1506,24,144
28216554,O02019,1396,12,36
28254969,M01041,1396,6,27
28456705,N01055,1396,12,36
28456705,O01039,1396,12,36
28456705,P02062,1506,12,36
28467603,O02062,,24,120
28467603,P02099,1506,24,144
28630176,M02091,,12,60
28739233,P01055,1506,24,108
28847804,N03088,,24,120
28969665,O02078,,24,120
29037546,M02003,1396,24,72
29037652,N02023,1396,24,72
29037652,P01078,1506,24,108
29069085,M02014,1396,24,72
29069085,P01069,1506,24,108
29093689,M01091,,12,60
29093895,M01087,,12,60
29094158,N01097,,12,60
29265105,O02085,,12,60
29309887,O01094,,12,60
29310992,N02086,,12,60
29351681,P01087,1506,12,72
2939797,N02020,1396,24,72
29411899,N02016,1396,12,36
29432341,O01083,,12,60
29434131,M02053,,12,60
29470309,O02093,,24,120
29538428,N03076,,24,120
29538550,N01088,,24,120
29613262,O02063,,24,120
29613296,M02058,,24,120
29723897,N02005,1396,24,72
29805967,P01090,1506,12,72
29805975,O02071,,24,120
29805991,O01092,,24,120
29806007,M03082,,24,120
29811668,N01053,1396,6,18
