wh_id,bldg_id,dstare,strategy,invsts,inv_attr_str1,prtfam,dept_cod
SGDC,Greenwich,PKGS,PARTIALS-BREAK-ZONE,AFS,1394,Packaging,
SGDC,Greenwich,PKGS,EMPTIES-BREAK-ZONE,AFS,1394,Packaging,
SGDC,Greenwich,PKGS,PARTIALS-BREAK-ZONE,AFS,1395,Packaging,
SGDC,Greenwich,PKGS,EMPTIES-BREAK-ZONE,AFS,1395,Packaging,
SGDC,Greenwich,PKGS,PARTIALS-BREAK-ZONE,AFS,1395,GDC,
SGDC,Greenwich,PKGS,EMPTIES-BREAK-ZONE,AFS,1395,GDC,
SGDC,Greenwich,PKGS,PARTIALS-BREAK-ZONE,AFS,1396,GDC,
SGDC,Greenwich,PKGS,EMPTIES-BREAK-ZONE,AFS,1396,GDC,
SGDC,Greenwich,CD,PARTIALS-BREAK-ZONE,AFS,,,3
SGDC,Greenwich,CD,EMPTIES-BREAK-ZONE,AFS,,,3
SGDC,Greenwich,EL,PARTIALS-BREAK-ZONE,AFS,,,4
SGDC,Greenwich,EL,EMPTIES-BREAK-ZONE,AFS,,,4
SGDC,Greenwich,LN,PARTIALS-BREAK-ZONE,AFS,,,6
SGDC,Greenwich,LN,EMPTIES-BREAK-ZONE,AFS,,,6
SGDC,Greenwich,CQ,PARTIALS-BREAK-ZONE,AFS,,,7
SGDC,Greenwich,CQ,EMPTIES-BREAK-ZONE,AFS,,,7
SGDC,Greenwich,GU,PARTIALS-BREAK-ZONE,AFS,,,8
SGDC,Greenwich,GU,EMPTIES-BREAK-ZONE,AFS,,,8
SGDC,Greenwich,GV,PARTIALS-BREAK-ZONE,AFS,,,13
SGDC,Greenwich,GV,EMPTIES-BREAK-ZONE,AFS,,,13
SGDC,Greenwich,CMD,PARTIALS-BREAK-ZONE,AFS,,,14
SGDC,Greenwich,CMD,EMPTIES-BREAK-ZONE,AFS,,,14
SGDC,Greenwich,CWB,PARTIALS-BREAK-ZONE,AFS,,,15
SGDC,Greenwich,CWB,EMPTIES-BREAK-ZONE,AFS,,,15
SGDC,Greenwich,KH,PARTIALS-BREAK-ZONE,AFS,,,16
SGDC,Greenwich,KH,EMPTIES-BREAK-ZONE,AFS,,,16
SGDC,Greenwich,CKB,PARTIALS-BREAK-ZONE,AFS,,,17
SGDC,Greenwich,CKB,EMPTIES-BREAK-ZONE,AFS,,,17
SGDC,Greenwich,CTR,PARTIALS-BREAK-ZONE,AFS,,,20
SGDC,Greenwich,CTR,EMPTIES-BREAK-ZONE,AFS,,,20
SGDC,Greenwich,CEB,PARTIALS-BREAK-ZONE,AFS,,,21
SGDC,Greenwich,CEB,EMPTIES-BREAK-ZONE,AFS,,,21
SGDC,Greenwich,CLOO,PARTIALS-BREAK-ZONE,AFS,,,27
SGDC,Greenwich,CLOO,EMPTIES-BREAK-ZONE,AFS,,,27
SGDC,Greenwich,CTRD,PARTIALS-BREAK-ZONE,AFS,,,29
SGDC,Greenwich,CTRD,EMPTIES-BREAK-ZONE,AFS,,,29
SGDC,Greenwich,VS,PARTIALS-BREAK-ZONE,AFS,,,32
SGDC,Greenwich,VS,EMPTIES-BREAK-ZONE,AFS,,,32
SGDC,Greenwich,FRA,PARTIALS-BREAK-ZONE,AFS,,,12
SGDC,Greenwich,FRA,EMPTIES-BREAK-ZONE,AFS,,,12
