usr_id,oprcod,wh_id
AJITHA,CNTZERO,SGDC
AKBHUVANESH,CNTZERO,SGDC
AKMAL,CNTZERO,SGDC
ALAW,CNTZERO,SGDC
ALISA,CNTZERO,SGDC
AMIRAB,CNTZERO,SGDC
AMY,CNTZERO,SGDC
ANTHONY,CNTZERO,SGDC
APENLESK,CNTZERO,SGDC
AS0130288,CNTZERO,SGDC
AS0132878,CNTZERO,SGDC
ASHOKKUMAR,CNTZERO,SGDC
AYUB,CNTZERO,SGDC
AZIMAN,CNTZERO,SGDC
B ISMAIL,CNTZERO,SGDC
BENGHUA,CNTZERO,SGDC
BIN KOMARUDIN,CNTZERO,SGDC
BRIDGET,CNTZERO,SGDC
C_CLEONG,CNTZERO,SGDC
CHANFANN,CNTZERO,SGDC
CHINCHEEW,CNTZERO,SGDC
CHINGMEI,CNTZERO,SGDC
CHNGSHUN,CNTZERO,SGDC
CHONG,CNTZERO,SGDC
CHRISNATOAL,CNTZERO,SGDC
CHUNKAI,CNTZERO,SGDC
CRYSTALKHO,CNTZERO,SGDC
CW0145014,CNTZERO,SGDC
DEBBIE,CNTZERO,SGDC
DJAISHREE,CNTZERO,SGDC
DL0138873,CNTZERO,SGDC
DROE,CNTZERO,SGDC
EDMUND,CNTZERO,SGDC
EDMUNDPENG,CNTZERO,SGDC
ELAVARASU,CNTZERO,SGDC
ELROND,CNTZERO,SGDC
FADIR,CNTZERO,SGDC
FARAHKAN,CNTZERO,SGDC
FOOKOCK,CNTZERO,SGDC
GAGANA,CNTZERO,SGDC
GAYATHRIL,CNTZERO,SGDC
GC145048,CNTZERO,SGDC
GEORGE,CNTZERO,SGDC
GHAYATHRI,CNTZERO,SGDC
GOWRI,CNTZERO,SGDC
GPAVITHRA,CNTZERO,SGDC
GUION,CNTZERO,SGDC
HALILB,CNTZERO,SGDC
HAMRAN,CNTZERO,SGDC
HAOLONG,CNTZERO,SGDC
HARONB,CNTZERO,SGDC
HASBI,CNTZERO,SGDC
HS0133003,CNTZERO,SGDC
HUDSON,CNTZERO,SGDC
IAHMAD,CNTZERO,SGDC
IMRANA,CNTZERO,SGDC
ISWARAN,CNTZERO,SGDC
JALILBINS,CNTZERO,SGDC
JARAJ,CNTZERO,SGDC
JASMINE,CNTZERO,SGDC
JAYAKUMAR,CNTZERO,SGDC
JEFFCHONGYI,CNTZERO,SGDC
JEFFZM,CNTZERO,SGDC
JENNIFER,CNTZERO,SGDC
JOHNSINGAM,CNTZERO,SGDC
JORDANT,CNTZERO,SGDC
JORDON,CNTZERO,SGDC
JPRASANTH,CNTZERO,SGDC
JS0132564,CNTZERO,SGDC
JTEPLIN,CNTZERO,SGDC
JTEPLIN2,CNTZERO,SGDC
JUNFANC,CNTZERO,SGDC
KELVIN LIM,CNTZERO,SGDC
KHOOKAH,CNTZERO,SGDC
KHUSNI,CNTZERO,SGDC
LAM,CNTZERO,SGDC
LEONGYM,CNTZERO,SGDC
LIMYUANMEE,CNTZERO,SGDC
LM0132337,CNTZERO,SGDC
LT0132440,CNTZERO,SGDC
MAHADI,CNTZERO,SGDC
MAYWONG,CNTZERO,SGDC
MAZLAN,CNTZERO,SGDC
MB0131670,CNTZERO,SGDC
MCHANDANA,CNTZERO,SGDC
MENDOZA,CNTZERO,SGDC
MITHILESH,CNTZERO,SGDC
MOHD RAHMAN,CNTZERO,SGDC
MS0145024,CNTZERO,SGDC
MS145042,CNTZERO,SGDC
MULHENDRIB,CNTZERO,SGDC
MUSHINTEO,CNTZERO,SGDC
NABILSHAH,CNTZERO,SGDC
NGJING,CNTZERO,SGDC
NK,CNTZERO,SGDC
PARTHIBANS,CNTZERO,SGDC
PAUL,CNTZERO,SGDC
PETERFUNG,CNTZERO,SGDC
PETERMATISI,CNTZERO,SGDC
PRINT PACKLIST,CNTZERO,SGDC
PTHEVINDRAN,CNTZERO,SGDC
PTRIVEDI,CNTZERO,SGDC
QAJAYA,CNTZERO,SGDC
QAPREETHI,CNTZERO,SGDC
QARUBAN,CNTZERO,SGDC
QASWARNA,CNTZERO,SGDC
QAVIDYA,CNTZERO,SGDC
QAVINOD,CNTZERO,SGDC
RAFEN,CNTZERO,SGDC
RAGHAV,CNTZERO,SGDC
RAHMAT,CNTZERO,SGDC
RAM,CNTZERO,SGDC
RAYCROSSWELL,CNTZERO,SGDC
RAYMONDTAN,CNTZERO,SGDC
RENQIANG,CNTZERO,SGDC
REUELD,CNTZERO,SGDC
RH145118,CNTZERO,SGDC
RIZAL,CNTZERO,SGDC
ROHIT,CNTZERO,SGDC
ROSLI,CNTZERO,SGDC
RPRABHU,CNTZERO,SGDC
RPSUPPORT,CNTZERO,SGDC
RSRINIVASAN,CNTZERO,SGDC
SAHRI,CNTZERO,SGDC
SAMNI,CNTZERO,SGDC
SAPIEE,CNTZERO,SGDC
SARAVANAN,CNTZERO,SGDC
SASITHAREN,CNTZERO,SGDC
SHAM,CNTZERO,SGDC
SHNEO,CNTZERO,SGDC
SJ133744,CNTZERO,SGDC
SLAVINE,CNTZERO,SGDC
SN0137087,CNTZERO,SGDC
SP0131597,CNTZERO,SGDC
SP133057,CNTZERO,SGDC
SQ0138815,CNTZERO,SGDC
SSHYAM,CNTZERO,SGDC
STEVE,CNTZERO,SGDC
SUPER,CNTZERO,SGDC
SUPERVISOR,CNTZERO,SGDC
SUPRA,CNTZERO,SGDC
SURESHRAMALINGAM,CNTZERO,SGDC
SUSANTAN,CNTZERO,SGDC
SYAZWAN,CNTZERO,SGDC
SYEDM,CNTZERO,SGDC
TANPK,CNTZERO,SGDC
TEMP1,CNTZERO,SGDC
TEMP2,CNTZERO,SGDC
TEMP3,CNTZERO,SGDC
TEMP4,CNTZERO,SGDC
TEMP5,CNTZERO,SGDC
TEOKIAH,CNTZERO,SGDC
TEOKIMJOO,CNTZERO,SGDC
TIMONTHY,CNTZERO,SGDC
VIGNESHWARAS,CNTZERO,SGDC
WANGJANG,CNTZERO,SGDC
WEEKIAT,CNTZERO,SGDC
WEEYAN,CNTZERO,SGDC
YANG,CNTZERO,SGDC
YATIM,CNTZERO,SGDC
YAZIT,CNTZERO,SGDC
YEOPOH,CNTZERO,SGDC
YH0145013,CNTZERO,SGDC
YOGESH,CNTZERO,SGDC
YONGMENG,CNTZERO,SGDC
ZAKARIABIN,CNTZERO,SGDC
ZHANGHE,CNTZERO,SGDC
ZHENYINQ,CNTZERO,SGDC
ZHIQIANG,CNTZERO,SGDC
ZL0132877,CNTZERO,SGDC
ZULILLAZI,CNTZERO,SGDC
ZULSALLEH,CNTZERO,SGDC
ZULYUNOS,CNTZERO,SGDC
ZUOZHUANG,CNTZERO,SGDC
AJITHA,PALRPL,SGDC
AKBHUVANESH,PALRPL,SGDC
AKMAL,PALRPL,SGDC
ALAW,PALRPL,SGDC
ALISA,PALRPL,SGDC
AMIRAB,PALRPL,SGDC
AMY,PALRPL,SGDC
ANTHONY,PALRPL,SGDC
APENLESK,PALRPL,SGDC
AS0130288,PALRPL,SGDC
AS0132878,PALRPL,SGDC
ASHOKKUMAR,PALRPL,SGDC
AYUB,PALRPL,SGDC
AZIMAN,PALRPL,SGDC
B ISMAIL,PALRPL,SGDC
BENGHUA,PALRPL,SGDC
BIN KOMARUDIN,PALRPL,SGDC
BRIDGET,PALRPL,SGDC
C_CLEONG,PALRPL,SGDC
CHANFANN,PALRPL,SGDC
CHINCHEEW,PALRPL,SGDC
CHINGMEI,PALRPL,SGDC
CHNGSHUN,PALRPL,SGDC
CHONG,PALRPL,SGDC
CHRISNATOAL,PALRPL,SGDC
CHUNKAI,PALRPL,SGDC
CRYSTALKHO,PALRPL,SGDC
CW0145014,PALRPL,SGDC
DEBBIE,PALRPL,SGDC
DJAISHREE,PALRPL,SGDC
DL0138873,PALRPL,SGDC
DROE,PALRPL,SGDC
EDMUND,PALRPL,SGDC
EDMUNDPENG,PALRPL,SGDC
ELAVARASU,PALRPL,SGDC
ELROND,PALRPL,SGDC
FADIR,PALRPL,SGDC
FARAHKAN,PALRPL,SGDC
FOOKOCK,PALRPL,SGDC
GAGANA,PALRPL,SGDC
GAYATHRIL,PALRPL,SGDC
GC145048,PALRPL,SGDC
GEORGE,PALRPL,SGDC
GHAYATHRI,PALRPL,SGDC
GOWRI,PALRPL,SGDC
GPAVITHRA,PALRPL,SGDC
GUION,PALRPL,SGDC
HALILB,PALRPL,SGDC
HAMRAN,PALRPL,SGDC
HAOLONG,PALRPL,SGDC
HARONB,PALRPL,SGDC
HASBI,PALRPL,SGDC
HS0133003,PALRPL,SGDC
HUDSON,PALRPL,SGDC
IAHMAD,PALRPL,SGDC
IMRANA,PALRPL,SGDC
ISWARAN,PALRPL,SGDC
JALILBINS,PALRPL,SGDC
