polcod,polvar,polval,srtseq,rtstr1,rtstr2,rtnum1,rtnum2,rtflt1,rtflt2,moddte,mod_usr_id,grp_nam,wh_id_tmpl
USR,REPLENISHMENT-PRIORITY-SETUP,ALLOW-MANUAL-PRIORITY-CHANGE,0,,,1,,0,0,,SUPER,USR-WOW,PRDC
USR,REPLENISHMENT-PRIORITY-SETUP,NEXT-TOP-ASSIGNMENT-COUNT,0,PRODUCE,,4,,0,0,,SUPER,USR-WOW,PRDC
USR,REPLENISHMENT-PRIORITY-SETUP,NEXT-TOP-ASSIGNMENT-COUNT,1,CHILLER,,3,,0,0,,SUPER,USR-WOW,PRDC
USR,REPLENISHMENT-PRIORITY-SETUP,NEXT-TOP-ASSIGNMENT-COUNT,2,AMBIENT,,3,,0,0,,SUPER,USR-WOW,PRDC
USR,REPLENISHMENT-PRIORITY-SETUP,SEAL-TIME-COUNT1,0,,,2,,0,0,,SUPER,USR-WOW,PRDC
USR,REPLENISHMENT-PRIORITY-SETUP,SEAL-TIME-COUNT2,0,,,4,,0,0,,SUPER,USR-WOW,PRDC
USR,REPLENISHMENT-PRIORITY-SETUP,SEAL-TIME-COUNT3,0,,,6,,0,0,,SUPER,USR-WOW,PRDC
USR,REPLENISHMENT-PRIORITY-SETUP,SCORE-PRIORITY-MAPPING, 0,,,51,5 ,0,0,,SUPER,USR-WOW,PRDC
USR,REPLENISHMENT-PRIORITY-SETUP,SCORE-PRIORITY-MAPPING, 1,,,50,5 ,0,0,,SUPER,USR-WOW,PRDC
USR,REPLENISHMENT-PRIORITY-SETUP,SCORE-PRIORITY-MAPPING, 2,,,49,5 ,0,0,,SUPER,USR-WOW,PRDC
USR,REPLENISHMENT-PRIORITY-SETUP,SCORE-PRIORITY-MAPPING, 3,,,48,5 ,0,0,,SUPER,USR-WOW,PRDC
USR,REPLENISHMENT-PRIORITY-SETUP,SCORE-PRIORITY-MAPPING, 4,,,43,5 ,0,0,,SUPER,USR-WOW,PRDC
USR,REPLENISHMENT-PRIORITY-SETUP,SCORE-PRIORITY-MAPPING, 5,,,42,5 ,0,0,,SUPER,USR-WOW,PRDC
USR,REPLENISHMENT-PRIORITY-SETUP,SCORE-PRIORITY-MAPPING, 6,,,41,5 ,0,0,,SUPER,USR-WOW,PRDC
USR,REPLENISHMENT-PRIORITY-SETUP,SCORE-PRIORITY-MAPPING, 7,,,40,5 ,0,0,,SUPER,USR-WOW,PRDC
USR,REPLENISHMENT-PRIORITY-SETUP,SCORE-PRIORITY-MAPPING, 8,,,39,5 ,0,0,,SUPER,USR-WOW,PRDC
USR,REPLENISHMENT-PRIORITY-SETUP,SCORE-PRIORITY-MAPPING, 9,,,38,5 ,0,0,,SUPER,USR-WOW,PRDC
USR,REPLENISHMENT-PRIORITY-SETUP,SCORE-PRIORITY-MAPPING,10,,,37,5 ,0,0,,SUPER,USR-WOW,PRDC
USR,REPLENISHMENT-PRIORITY-SETUP,SCORE-PRIORITY-MAPPING,11,,,36,5 ,0,0,,SUPER,USR-WOW,PRDC
USR,REPLENISHMENT-PRIORITY-SETUP,SCORE-PRIORITY-MAPPING,12,,,35,5 ,0,0,,SUPER,USR-WOW,PRDC
USR,REPLENISHMENT-PRIORITY-SETUP,SCORE-PRIORITY-MAPPING,13,,,34,5 ,0,0,,SUPER,USR-WOW,PRDC
USR,REPLENISHMENT-PRIORITY-SETUP,SCORE-PRIORITY-MAPPING,14,,,33,5 ,0,0,,SUPER,USR-WOW,PRDC
USR,REPLENISHMENT-PRIORITY-SETUP,SCORE-PRIORITY-MAPPING,15,,,32,5 ,0,0,,SUPER,USR-WOW,PRDC
USR,REPLENISHMENT-PRIORITY-SETUP,SCORE-PRIORITY-MAPPING,16,,,19,10,0,0,,SUPER,USR-WOW,PRDC
USR,REPLENISHMENT-PRIORITY-SETUP,SCORE-PRIORITY-MAPPING,17,,,18,15,0,0,,SUPER,USR-WOW,PRDC
USR,REPLENISHMENT-PRIORITY-SETUP,SCORE-PRIORITY-MAPPING,18,,,17,20,0,0,,SUPER,USR-WOW,PRDC
USR,REPLENISHMENT-PRIORITY-SETUP,SCORE-PRIORITY-MAPPING,19,,,16,25,0,0,,SUPER,USR-WOW,PRDC
USR,REPLENISHMENT-PRIORITY-SETUP,SCORE-PRIORITY-MAPPING,20,,,11,30,0,0,,SUPER,USR-WOW,PRDC
USR,REPLENISHMENT-PRIORITY-SETUP,SCORE-PRIORITY-MAPPING,21,,,10,35,0,0,,SUPER,USR-WOW,PRDC
USR,REPLENISHMENT-PRIORITY-SETUP,SCORE-PRIORITY-MAPPING,22,,,9 ,40,0,0,,SUPER,USR-WOW,PRDC
USR,REPLENISHMENT-PRIORITY-SETUP,SCORE-PRIORITY-MAPPING,23,,,8 ,45,0,0,,SUPER,USR-WOW,PRDC
USR,REPLENISHMENT-PRIORITY-SETUP,SCORE-PRIORITY-MAPPING,24,,,7 ,50,0,0,,SUPER,USR-WOW,PRDC
USR,REPLENISHMENT-PRIORITY-SETUP,SCORE-PRIORITY-MAPPING,25,,,6 ,55,0,0,,SUPER,USR-WOW,PRDC
USR,REPLENISHMENT-PRIORITY-SETUP,SCORE-PRIORITY-MAPPING,26,,,5 ,60,0,0,,SUPER,USR-WOW,PRDC
USR,REPLENISHMENT-PRIORITY-SETUP,SCORE-PRIORITY-MAPPING,27,,,4 ,65,0,0,,SUPER,USR-WOW,PRDC
USR,REPLENISHMENT-PRIORITY-SETUP,SCORE-PRIORITY-MAPPING,28,,,3 ,70,0,0,,SUPER,USR-WOW,PRDC
USR,REPLENISHMENT-PRIORITY-SETUP,SCORE-PRIORITY-MAPPING,29,,,2 ,75,0,0,,SUPER,USR-WOW,PRDC
USR,REPLENISHMENT-PRIORITY-SETUP,SCORE-PRIORITY-MAPPING,30,,,1 ,80,0,0,,SUPER,USR-WOW,PRDC
USR,REPLENISHMENT-PRIORITY-SETUP,SCORE-PRIORITY-MAPPING,31,,,0 ,85,0,0,,SUPER,USR-WOW,PRDC
