colnam,colval,locale_id,lngdsc,short_dsc,grp_nam
"module_id","dshShowLoadCnt","ARABIC_SAUDI","dshShowLoadCount","null",""
"module_id","dshShowLoadCnt","BRAZILIAN_PORTUGUESE","dshShowLoadCount","null",""
"module_id","dshShowLoadCnt","CASTILIAN_SPANISH","dshShowLoadCount","null",""
"module_id","dshShowLoadCnt","CASTILLIAN_SPANISH","dshShowLoadCount","null",""
"module_id","dshShowLoadCnt","DUTCH_HOLLAND","dshShowLoadCount","null",""
"module_id","dshShowLoadCnt","FRENCH","dshShowLoadCount","null",""
"module_id","dshShowLoadCnt","GERMAN","dshShowLoadCount","null",""
"module_id","dshShowLoadCnt","ITALIAN","dshShowLoadCount","null",""
"module_id","dshShowLoadCnt","RUSSIAN","dshShowLoadCount","null",""
"module_id","dshShowLoadCnt","SIMPLIFIED_CHINESE","dshShowLoadCount","null",""
"module_id","dshShowLoadCnt","TURKISH","dshShowLoadCount","null",""
"module_id","dshShowLoadCnt","US_ENGLISH","dshShowLoadCount","null",""
